customer_id,age,gender,income,employment_type,loan_amount,tenure_months,existing_loans,dependents,default
100147,21,F,1024772,student,676787,48,4,1,1
100148,47,M,1112361,salaried,474632,48,0,1,0
100149,33,F,291214,salaried,223084,24,1,4,1
100150,23,M,789341,salaried,574156,12,2,4,1
100151,59,M,553082,salaried,511261,36,3,0,1
100152,26,M,351139,self_employed,726760,36,4,3,1
100153,28,M,1178494,salaried,360414,18,2,2,1
100154,47,M,1171318,salaried,253141,24,1,4,1
100155,29,F,799714,salaried,693703,18,4,1,1
100156,57,M,738315,salaried,493049,18,0,0,1
100157,53,M,242601,salaried,244716,36,3,2,1
100158,44,M,779085,salaried,654494,18,1,1,1
100159,35,F,1062735,self_employed,381612,12,3,1,1
100160,52,F,571486,self_employed,240545,18,4,3,1
100161,52,F,753103,salaried,481544,12,2,3,1
100162,44,F,189279,salaried,480000,36,3,4,1
100163,32,M,521931,salaried,73723,24,0,4,1
100164,59,M,298702,self_employed,771615,48,1,1,1
100165,22,F,923887,salaried,574362,12,0,1,1
100166,23,F,802184,salaried,338642,24,3,4,1
100167,57,M,595377,salaried,770882,24,2,4,1
100168,37,M,669089,salaried,671169,12,2,1,0
100169,22,F,896434,salaried,463757,36,0,2,1
100170,22,F,332051,self_employed,620217,6,4,1,1
100171,48,M,1093693,salaried,173199,24,4,2,0
100172,43,F,273257,salaried,281525,24,2,2,1
100173,57,M,1129062,self_employed,338172,36,0,1,0
100174,52,M,1125217,self_employed,79545,36,0,0,1
100175,53,M,1153171,salaried,653857,18,0,4,1
100176,21,M,1073482,salaried,81673,36,3,3,0
100177,39,M,953585,salaried,474190,24,4,1,1
100178,22,F,904444,self_employed,502115,12,4,2,1
100179,46,M,262990,salaried,466313,6,3,1,1
100180,52,F,1131883,self_employed,405288,60,1,4,1
100181,26,M,863226,self_employed,376968,18,3,2,1
100182,52,M,176806,salaried,73525,60,0,3,1
100183,24,F,565384,salaried,632092,12,3,3,1
100184,31,F,220119,salaried,196115,6,0,3,1
100185,37,F,779720,salaried,616134,6,2,0,1
100186,58,F,620641,salaried,127261,6,0,2,1
100187,44,M,1029381,self_employed,550827,48,4,2,1
100188,25,M,557507,student,234100,12,3,0,1
100189,54,F,1013403,salaried,57265,18,0,2,1
100190,26,F,1029903,self_employed,256724,18,1,0,0
100191,42,F,1035421,salaried,65733,6,2,1,1
100192,31,F,234080,salaried,665326,12,1,4,1
100193,36,F,1128836,salaried,349564,48,1,3,1
100194,53,M,442985,salaried,714607,6,1,0,1
100195,29,F,274447,self_employed,508365,36,2,0,1
100196,26,F,270029,self_employed,71058,60,2,0,1
100197,36,F,329830,salaried,296301,18,2,1,1
100198,49,M,711931,salaried,347073,60,2,0,1
100199,23,M,456094,salaried,212434,24,1,4,0
100200,40,M,833404,salaried,660777,6,4,4,1
100201,56,M,537732,self_employed,658952,36,4,3,1
100202,39,F,1016183,self_employed,752716,18,2,1,1
100203,46,M,772893,salaried,127597,60,3,4,1
100204,23,M,991965,salaried,128209,48,0,2,1
100205,39,M,494710,salaried,242941,12,3,2,1
100206,40,F,782543,salaried,726419,18,3,2,1
100207,52,M,934586,salaried,674152,60,3,0,0
100208,27,M,1161967,salaried,198620,12,4,0,1
100209,53,M,601157,self_employed,458294,60,0,2,1
100210,59,M,173387,self_employed,448635,12,3,3,1
100211,38,M,1030412,salaried,216562,48,2,3,0
100212,21,M,294129,salaried,257158,48,4,0,1
100213,31,F,1178308,salaried,689446,6,2,2,1
100214,48,M,467875,salaried,51468,6,2,3,0
100215,45,M,718926,self_employed,336453,18,3,0,1
100216,43,F,634814,salaried,122255,48,2,2,1
100217,51,M,572955,salaried,603006,36,0,1,1
100218,50,F,217260,salaried,275409,60,2,2,0
100219,55,M,406695,self_employed,289967,60,3,2,1
100220,27,F,682994,salaried,743201,60,2,4,1
100221,36,F,945326,salaried,788925,18,4,4,1
100222,46,F,496130,salaried,418697,60,4,1,1
100223,22,M,1018374,self_employed,425595,24,4,1,1
100224,21,M,179725,student,297113,12,1,2,1
100225,32,M,254555,salaried,447111,60,4,3,1
100226,25,F,411486,self_employed,632314,12,4,1,1
100227,57,F,945928,self_employed,617256,6,1,2,1
100228,52,M,1038036,self_employed,745457,60,4,0,1
100229,29,M,1024631,salaried,458548,36,3,4,1
100230,55,M,715609,salaried,195693,48,4,3,1
100231,39,M,383103,salaried,651158,48,4,2,1
100232,36,M,1132599,self_employed,592462,6,1,0,1
100233,23,M,565872,salaried,614790,24,3,4,1
100234,40,F,205147,self_employed,348818,18,2,0,1
100235,44,F,592882,salaried,611548,18,0,2,1
100236,53,F,625584,self_employed,772969,36,3,1,1
100237,44,M,450931,self_employed,754824,6,2,4,1
100238,31,F,394839,salaried,646093,6,3,0,1
100239,28,F,606162,self_employed,245991,24,2,1,1
100240,56,M,696015,salaried,235541,60,2,3,0
100241,58,F,839556,self_employed,67194,18,3,2,1
100242,40,M,842095,salaried,732171,60,1,2,1
100243,55,M,910109,salaried,705152,6,3,4,0
100244,45,M,1147082,self_employed,568953,60,3,0,1
100245,55,M,306570,salaried,618011,48,2,3,1
100246,45,F,581116,self_employed,281408,36,0,4,1
100247,49,M,671608,salaried,518451,18,2,4,1
100248,38,M,267235,salaried,292113,24,4,0,1
100249,38,M,1152403,salaried,126298,36,3,3,1
100250,22,F,666409,salaried,633526,12,3,0,1
100251,55,M,816165,salaried,309425,48,1,2,1
100252,36,F,841211,salaried,679721,24,2,1,1
100253,56,F,701120,salaried,560609,36,1,2,1
100254,53,M,295016,salaried,157092,6,3,2,0
100255,24,M,432017,student,314291,12,2,4,0
100256,53,F,820739,student,279991,24,2,2,1
100257,34,M,895182,salaried,350589,6,4,3,1
100258,41,M,597557,self_employed,759163,48,4,2,1
100259,40,F,948519,salaried,242180,12,0,3,1
100260,28,M,566978,self_employed,680458,18,4,0,1
100261,27,M,1183316,self_employed,397761,6,2,4,1
100262,23,M,1019049,self_employed,263482,36,4,3,1
100263,37,M,774771,salaried,691404,60,0,2,1
100264,53,F,673886,self_employed,714093,24,3,4,0
100265,32,F,692601,salaried,649649,12,4,4,1
100266,42,F,697993,student,726664,6,2,3,1
100267,42,F,253892,salaried,478910,18,3,3,1
100268,50,M,793942,salaried,174232,60,2,1,1
100269,58,M,254195,self_employed,131171,24,3,1,1
100270,58,M,866987,self_employed,426295,24,2,4,1
100271,28,M,1082883,salaried,136296,6,4,1,1
100272,47,F,1176630,self_employed,190562,18,4,2,1
100273,47,F,218099,salaried,202324,48,0,0,1
100274,54,M,1162237,salaried,548506,60,3,4,1
100275,41,M,723156,salaried,712222,48,0,0,0
100276,50,M,636275,salaried,291535,12,1,1,1
100277,53,M,448871,salaried,382103,6,4,3,1
100278,48,M,1002129,salaried,453666,60,3,4,1
100279,53,M,557442,salaried,368166,12,0,1,1
100280,25,F,1046816,salaried,221999,48,0,2,0
100281,39,F,467650,salaried,361997,60,1,4,1
100282,24,M,593031,self_employed,81826,24,0,4,1
100283,55,M,1133581,self_employed,762625,12,2,3,1
100284,37,M,302889,salaried,646649,18,4,4,1
100285,48,F,843221,salaried,290028,36,0,3,1
100286,50,F,325006,salaried,390134,48,0,1,1
100287,49,F,919727,salaried,401931,48,1,2,1
100288,26,M,440998,self_employed,267256,18,2,2,1
100289,55,F,811616,salaried,90736,60,0,4,1
100290,57,M,226256,salaried,336674,60,4,4,1
100291,44,F,1101441,salaried,259124,60,4,1,1
100292,49,M,331360,salaried,228130,12,0,3,1
100293,51,M,496874,self_employed,680368,6,2,2,1
100294,55,F,568267,student,517310,24,4,3,1
100295,53,M,1083688,salaried,386399,36,4,1,0
100296,41,M,183787,salaried,710246,6,2,2,1
100297,52,M,695909,self_employed,438742,6,2,2,1
100298,43,M,752272,self_employed,274793,18,0,0,1
100299,53,M,461955,salaried,692911,12,3,1,1
100300,23,M,180447,salaried,349531,48,1,1,1
100301,38,M,278046,salaried,726935,48,3,0,1
100302,45,M,889290,salaried,686548,18,3,3,1
100303,51,F,1167541,salaried,482859,12,4,0,1
100304,23,M,791147,salaried,503572,18,2,1,1
100305,44,M,338490,salaried,451072,48,4,3,1
100306,52,M,1182038,salaried,481385,6,1,2,1
100307,42,F,557688,self_employed,741150,24,0,0,1
100308,43,F,654409,salaried,343132,60,1,3,1
100309,22,M,666595,salaried,553195,12,4,3,1
100310,47,F,813689,salaried,388592,36,4,3,1
100311,22,F,315937,salaried,425574,36,4,0,1
100312,46,F,393306,student,793264,6,4,2,1
100313,37,F,811757,salaried,510522,18,3,3,1
100314,53,F,378981,salaried,715329,18,0,0,1
100315,29,F,672220,self_employed,324548,48,3,1,1
100316,59,F,203072,salaried,452205,6,4,0,1
100317,49,M,233369,self_employed,508521,48,2,0,1
100318,46,F,961554,salaried,479199,48,3,0,1
100319,55,F,887266,salaried,220534,36,4,3,1
100320,45,M,737100,salaried,331504,48,4,0,1
100321,44,F,434580,salaried,469503,60,0,1,1
100322,33,M,673156,self_employed,246544,48,1,3,1
100323,27,M,919097,self_employed,296512,36,3,1,1
100324,56,F,402164,salaried,84160,60,3,4,1
100325,40,M,919605,salaried,318933,18,3,0,1
100326,21,M,300787,self_employed,208253,12,4,3,1
100327,28,M,310381,self_employed,719745,24,0,3,1
100328,36,M,599830,salaried,115641,48,4,0,1
100329,34,M,1054098,salaried,660961,60,4,2,1
100330,32,M,218920,salaried,281322,12,2,2,1
100331,43,M,980051,self_employed,317688,36,0,1,1
100332,35,F,800024,salaried,456491,12,3,0,0
100333,48,F,1080997,salaried,637536,24,1,0,1
100334,54,M,691357,self_employed,346694,12,3,4,1
100335,22,F,157531,salaried,462857,60,4,2,1
100336,52,M,580267,salaried,252821,12,0,2,1
100337,43,M,1081479,salaried,327749,12,0,0,1
100338,42,M,457747,salaried,546389,12,0,1,1
100339,45,F,1090756,salaried,100713,6,2,0,0
100340,42,F,624013,salaried,463606,48,3,1,1
100341,42,M,282503,salaried,387547,36,2,2,1
100342,26,M,842841,salaried,578269,24,1,4,1
100343,35,M,814917,self_employed,431382,36,4,3,1
100344,57,M,1102246,self_employed,145335,6,2,2,1
100345,53,F,169675,salaried,157441,6,2,1,1
100346,28,M,223997,salaried,66984,60,4,0,1
100347,25,F,298087,salaried,699868,6,0,2,1
100348,59,M,1117561,salaried,465976,48,4,4,1
100349,24,F,636799,salaried,706884,6,3,1,1
100350,26,F,669349,self_employed,692742,12,4,0,1
100351,52,M,905678,salaried,99402,36,0,3,1
100352,50,F,290905,salaried,141656,18,4,1,1
100353,55,F,420040,salaried,115614,24,2,0,1
100354,36,M,461877,self_employed,216963,6,1,3,1
100355,33,M,716088,salaried,403153,36,2,0,1
100356,50,F,417491,salaried,483048,60,1,3,0
100357,39,M,639066,salaried,357980,6,4,3,1
100358,37,M,808003,self_employed,705337,48,3,3,1
100359,39,M,452929,self_employed,683669,6,4,0,1
100360,48,F,955113,salaried,536134,6,0,3,1
100361,46,F,516008,salaried,65791,6,4,1,0
100362,57,F,1083396,salaried,108047,60,1,4,0
100363,46,M,983731,salaried,544064,6,2,4,1
100364,43,M,903158,self_employed,284898,24,3,3,1
100365,29,F,265359,self_employed,511122,36,4,4,1
100366,32,F,1075431,self_employed,725025,48,4,4,0
100367,21,M,216707,self_employed,120246,6,2,3,1
100368,21,M,401351,salaried,246936,6,3,3,1
100369,54,M,620670,salaried,284955,6,4,1,1
100370,52,F,200601,self_employed,398292,6,4,2,1
100371,45,F,1144969,salaried,620178,12,1,0,1
100372,21,F,645479,self_employed,450010,12,1,3,1
100373,36,F,401924,salaried,607176,18,0,3,1
100374,59,M,933441,salaried,187821,6,2,4,1
100375,25,F,399430,student,620819,18,3,1,1
100376,42,F,430466,salaried,393130,24,4,4,1
100377,49,M,600930,student,396140,18,4,3,1
100378,23,F,703343,student,630305,36,0,3,1
100379,32,M,455035,self_employed,547163,12,4,4,1
100380,46,F,418448,self_employed,107676,12,2,3,1
100381,36,F,1091763,salaried,585848,6,0,2,1
100382,57,F,241006,self_employed,497617,6,2,0,1
100383,42,F,279350,salaried,100468,24,0,0,1
100384,49,M,838725,salaried,737823,48,4,0,1
100385,34,M,955878,salaried,501989,24,0,2,0
100386,48,M,938768,salaried,668634,36,1,3,1
100387,25,F,356487,salaried,715078,6,3,4,1
100388,50,F,247852,salaried,767997,6,4,1,1
100389,25,F,877067,salaried,97599,24,3,3,0
100390,32,M,828841,self_employed,198469,24,4,2,1
100391,36,F,430618,salaried,290270,24,3,2,1
100392,46,F,992150,self_employed,95406,12,1,0,1
100393,46,F,195232,self_employed,117560,18,3,3,0
100394,41,M,498688,self_employed,566394,18,0,0,1
100395,59,M,610385,salaried,678431,6,3,1,1
100396,56,M,933301,self_employed,570112,12,4,0,1
100397,53,F,462813,salaried,194575,24,2,1,0
100398,50,F,1176657,self_employed,104943,6,3,2,1
100399,57,F,688645,salaried,125839,12,3,0,1
100400,43,M,480817,self_employed,656962,36,3,0,1
100401,30,M,882303,student,599633,48,4,4,1
100402,25,F,770399,salaried,299495,12,3,2,1
100403,56,F,1014690,salaried,100390,60,4,4,1
100404,54,F,556140,self_employed,371701,6,4,1,1
100405,51,F,243269,salaried,51906,18,2,1,0
100406,30,M,408635,self_employed,582249,60,0,2,1
100407,39,F,663317,salaried,207212,24,4,1,1
100408,52,F,220202,salaried,239773,48,1,2,1
100409,21,M,298066,student,389711,36,3,1,1
100410,25,M,1003695,self_employed,392808,48,1,3,1
100411,24,M,340706,self_employed,131199,48,3,0,1
100412,36,M,774446,salaried,149764,12,2,3,1
100413,44,F,947232,self_employed,172357,6,4,2,1
100414,36,M,974255,salaried,392873,6,0,2,1
100415,22,M,430852,salaried,471777,48,4,3,1
100416,48,M,818179,self_employed,362712,24,3,0,1
100417,52,F,738158,salaried,669256,6,0,0,1
100418,47,M,683571,salaried,210576,48,4,4,1
100419,40,F,1015139,salaried,614585,6,0,1,1
100420,44,M,954565,self_employed,660682,24,3,4,1
100421,32,M,675069,salaried,511823,36,2,0,0
100422,55,M,264586,self_employed,66939,60,2,3,1
100423,53,M,439768,salaried,493931,48,4,1,0
100424,53,M,681111,salaried,356604,18,1,3,1
100425,57,M,692777,self_employed,249294,18,3,4,1
100426,32,F,1186059,salaried,112119,48,4,2,1
100427,23,F,321033,salaried,740681,12,4,3,1
100428,21,M,425709,salaried,194258,36,2,4,1
100429,53,M,324023,salaried,459675,12,0,4,1
100430,30,F,1027611,self_employed,268827,60,3,4,1
100431,49,F,697936,salaried,317201,18,0,2,1
100432,33,M,593945,self_employed,199805,24,3,2,1
100433,32,F,168658,salaried,200685,48,1,2,1
100434,51,F,171253,salaried,682900,60,2,1,1
100435,22,F,329635,self_employed,427224,6,1,2,1
100436,55,M,307462,salaried,529498,18,4,2,1
100437,43,M,360097,salaried,186260,36,2,2,1
100438,37,M,778138,salaried,288178,18,4,3,1
100439,46,F,1100162,salaried,309418,36,1,2,1
100440,28,F,812212,salaried,79680,36,3,1,1
100441,49,M,670498,salaried,284433,48,4,4,1
100442,46,F,807911,salaried,414446,36,0,3,1
100443,30,F,1008379,salaried,517616,12,3,0,1
100444,46,F,272775,salaried,498934,60,3,2,1
100445,54,F,1119211,salaried,610733,24,1,4,1
100446,27,F,827160,salaried,580084,18,1,4,0
100447,24,M,469972,self_employed,744491,24,2,3,1
100448,31,F,418854,student,451339,60,2,0,1
100449,49,F,564600,salaried,713582,6,0,1,1
100450,56,M,321918,self_employed,473041,60,3,4,1
100451,45,M,369055,salaried,642610,18,0,4,1
100452,41,F,884417,salaried,684388,24,0,4,1
100453,56,M,1180697,salaried,573321,24,1,4,1
100454,30,F,572355,salaried,469204,48,0,3,1
100455,57,M,1021877,salaried,149244,48,0,0,1
100456,29,M,230257,salaried,541860,60,4,4,1
100457,44,M,974143,salaried,437932,60,2,1,0
100458,55,M,1067786,self_employed,407395,6,2,1,1
100459,55,F,360545,salaried,180364,36,3,2,1
100460,56,F,678423,salaried,460259,18,2,4,1
100461,38,M,1074133,self_employed,518977,48,3,4,1
100462,59,M,521616,salaried,452968,18,4,4,1
100463,52,M,925158,salaried,250065,6,2,4,1
100464,44,M,763375,self_employed,747976,48,4,4,1
100465,43,F,1066383,self_employed,102127,48,2,1,1
100466,52,M,429215,self_employed,661650,36,2,0,1
100467,57,M,896084,self_employed,323120,18,4,0,1
100468,32,M,423349,self_employed,688464,18,0,2,1
100469,33,M,545807,self_employed,149122,18,0,1,1
100470,43,M,728688,salaried,382548,36,0,4,0
100471,45,M,181852,salaried,394076,48,0,0,1
100472,55,F,1110374,salaried,671458,6,2,3,1
100473,50,F,527501,salaried,389851,18,1,3,1
100474,37,F,183691,self_employed,532863,24,4,3,1
100475,40,M,544341,salaried,267912,36,1,4,1
100476,45,M,1196238,salaried,285851,12,1,4,1
100477,42,M,682726,salaried,405933,6,3,2,1
100478,33,F,946184,self_employed,670804,24,0,2,1
100479,39,F,389968,salaried,582245,18,2,2,1
100480,56,M,438963,self_employed,557750,12,0,3,1
100481,32,M,645384,salaried,157724,6,0,4,1
100482,39,F,1028483,salaried,448008,36,1,3,0
100483,32,F,671121,salaried,325381,12,3,2,1
100484,29,F,669165,salaried,453923,48,0,4,1
100485,27,F,369780,self_employed,739566,60,4,1,1
100486,48,F,592632,self_employed,577831,12,4,0,0
100487,34,M,1077091,salaried,749495,60,0,0,1
100488,51,F,1177557,salaried,297541,24,1,2,1
100489,39,F,562104,salaried,678935,6,1,3,1
100490,36,F,458449,self_employed,609319,24,2,1,1
100491,25,M,683634,self_employed,224001,24,3,4,1
100492,55,M,340237,salaried,377891,18,1,3,1
100493,32,M,1006047,salaried,501067,36,2,2,1
100494,45,M,579332,self_employed,367455,12,4,3,1
100495,41,F,795275,salaried,555329,6,4,2,1
100496,56,M,371373,salaried,115867,48,4,0,0
100497,43,M,699844,salaried,138780,36,0,0,1
100498,36,F,995474,salaried,107196,36,3,3,0
100499,59,M,521233,self_employed,647993,6,2,1,1
100500,59,M,818590,student,550653,36,3,4,0
100501,34,M,183866,salaried,326735,18,0,2,1
100502,51,F,585071,salaried,671535,36,2,4,0
100503,25,M,746804,salaried,754253,18,2,0,1
100504,55,F,336987,salaried,50727,12,1,1,0
100505,43,M,561274,salaried,93822,12,3,1,1
100506,49,F,583934,salaried,415543,24,3,4,1
100507,31,M,444746,salaried,162113,18,1,0,1
100508,38,M,308588,salaried,269606,48,4,4,1
100509,32,M,273950,salaried,442575,12,0,3,1
100510,29,M,479638,salaried,440732,36,3,1,1
100511,30,M,750517,salaried,634379,6,1,1,1
100512,37,M,188547,salaried,523594,6,2,3,1
100513,58,M,703083,student,204591,60,1,0,1
100514,27,F,336368,salaried,460609,18,4,1,1
100515,33,M,695735,salaried,255603,48,0,2,1
100516,29,M,356402,self_employed,229006,24,4,2,0
100517,47,F,904105,student,422949,36,2,0,1
100518,22,F,999710,salaried,209912,18,2,3,1
100519,25,M,729365,self_employed,663655,60,2,4,1
100520,49,M,262782,salaried,63265,6,2,0,1
100521,57,F,1189550,salaried,448640,18,1,4,1
100522,58,M,777220,salaried,463841,36,2,0,1
100523,39,F,1161316,self_employed,653910,48,2,2,0
100524,28,M,593316,self_employed,734547,48,1,3,1
100525,21,F,625595,salaried,348073,12,2,2,1
100526,42,M,200939,salaried,374036,36,4,3,1
100527,37,F,291521,salaried,725899,60,4,4,1
100528,27,M,1023093,salaried,368774,12,3,0,1
100529,45,F,959178,salaried,271711,12,4,1,1
100530,24,M,733098,self_employed,536626,12,0,1,1
100531,56,M,792650,self_employed,220457,18,0,3,1
100532,26,F,626513,self_employed,705313,60,0,3,1
100533,51,M,615453,self_employed,661868,6,1,2,1
100534,39,F,871037,salaried,389606,48,4,1,1
100535,59,M,276498,self_employed,687684,18,0,2,1
100536,47,F,852098,salaried,409181,6,3,4,1
100537,30,M,1171469,salaried,145310,48,1,1,1
100538,46,F,614894,salaried,206080,60,3,4,1
100539,39,F,434154,salaried,361072,60,4,0,1
100540,59,M,945219,salaried,788456,36,2,2,1
100541,23,F,289544,salaried,139876,48,3,3,1
100542,33,F,396183,self_employed,599264,48,2,1,1
100543,48,M,828743,salaried,437128,60,1,2,1
100544,40,F,613001,salaried,732986,48,3,3,1
100545,48,M,203909,student,410400,24,3,0,1
100546,28,F,874984,salaried,412681,36,1,1,1
