customer_id,credit_score,inquiries_6m,delinquency_12m,utilization_ratio,total_outstanding_amount
100076,768,1,0,0.2,612936
100077,554,3,0,0.134,300330
100078,521,6,0,0.236,696660
100079,773,1,3,0.0,115400
100080,570,2,2,0.255,25167
100081,651,5,0,0.257,254972
100082,725,2,2,0.655,118575
100083,675,0,0,0.26,563276
100084,674,4,3,0.401,172059
100085,685,1,1,0.67,306222
100086,868,1,3,0.137,89166
100087,813,0,3,0.225,479172
100088,627,1,2,0.242,408252
100089,758,3,1,0.015,443608
100090,717,3,2,0.298,527268
100091,678,2,1,0.583,709344
100092,611,0,3,0.519,454944
100093,713,2,0,0.586,278397
100094,657,1,0,0.223,23764
100095,651,3,1,0.124,159774
100096,622,0,0,0.801,704036
100097,754,1,1,0.393,184296
100098,622,3,1,0.028,55878
100099,622,4,3,0.862,0
100100,738,0,3,0.332,754988
100101,669,2,2,0.0,110461
100102,671,1,4,0.641,0
100103,757,1,1,0.0,688012
100104,778,2,0,0.408,268857
100105,520,1,1,0.518,0
100106,670,4,2,0.486,260301
100107,574,3,0,0.661,237760
100108,650,3,0,0.553,323804
100109,679,3,1,0.721,136430
100110,653,4,3,0.331,93234
100111,603,1,0,0.267,99109
100112,599,3,1,0.281,151746
100113,734,3,1,0.625,177800
100114,795,3,0,0.222,134785
100115,525,4,0,0.519,588284
100116,655,1,1,0.178,62908
100117,734,1,0,0.182,60924
100118,677,0,2,0.587,92142
100119,596,6,1,0.437,38839
100120,644,0,2,0.0,512706
100121,702,1,2,0.179,386874
100122,656,3,2,0.0,0
100123,676,1,1,0.275,186726
100124,678,2,2,0.295,137379
100125,640,1,3,0.255,406980
100126,741,1,1,0.591,356792
100127,644,2,1,0.433,138264
100128,604,2,2,0.843,0
100129,847,2,0,0.457,0
100130,674,2,1,0.461,493220
100131,484,2,2,0.404,503120
100132,774,2,2,0.296,164812
100133,773,4,1,0.22,467552
100134,714,1,0,0.303,176109
100135,727,1,0,0.312,341688
100136,841,2,1,0.331,121842
100137,607,2,2,0.477,671132
100138,689,3,0,0.41,457624
100139,827,2,0,0.247,672552
100140,843,1,0,0.202,195363
100141,652,3,1,0.395,52891
100142,830,5,1,0.165,607300
100143,740,2,1,0.265,182646
100144,792,3,2,0.244,370892
100145,737,1,0,0.835,0
100146,702,4,1,0.095,154650
100147,845,3,3,0.191,426344
100148,640,2,0,0.239,0
100149,822,3,1,0.26,170301
100150,834,2,3,0.55,176948
100151,782,1,2,0.299,403383
100152,674,1,3,0.085,775832
100153,698,3,2,0.636,329894
100154,584,4,1,0.403,141007
100155,646,5,1,0.434,330968
100156,726,3,1,0.48,0
100157,572,2,1,0.104,330828
100158,657,0,1,0.349,99686
100159,825,3,0,0.514,482319
100160,668,3,1,0.222,173164
100161,757,3,0,0.411,88232
100162,722,1,0,0.459,77658
100163,656,2,1,0.058,0
100164,668,3,0,0.144,34508
100165,692,1,1,0.0,0
100166,526,4,4,0.395,387918
100167,751,2,1,0.727,378016
100168,671,2,0,0.212,394524
100169,753,2,0,0.311,0
100170,709,1,0,0.553,594744
100171,667,2,1,0.403,493032
100172,694,1,0,0.155,230772
100173,695,5,0,0.655,0
100174,790,3,1,0.389,0
100175,684,1,1,0.304,0
100176,701,2,1,0.32,451089
100177,585,3,0,0.468,718160
100178,676,3,1,0.227,717804
100179,789,5,2,0.664,334395
100180,712,1,0,0.602,122543
100181,598,0,0,0.352,233886
100182,606,0,0,0.362,0
100183,624,4,2,0.181,100899
100184,754,0,3,0.223,0
100185,745,1,2,0.123,49864
100186,420,1,0,0.309,0
100187,673,2,2,0.362,421880
100188,691,1,1,0.032,213333
100189,607,3,1,0.488,0
100190,650,4,0,0.176,90719
100191,779,2,3,0.432,211574
100192,710,3,1,0.511,171816
100193,642,2,2,0.611,153125
100194,665,2,0,0.569,151060
100195,662,2,0,0.681,246624
100196,701,2,1,0.513,318862
100197,572,4,5,0.384,265988
100198,629,1,2,0.255,282008
100199,757,1,0,0.326,131441
100200,674,1,4,0.676,219736
100201,616,5,1,0.31,243496
100202,619,4,0,0.349,169474
100203,734,1,0,0.645,490599
100204,641,2,0,0.303,0
100205,718,4,3,0.191,124698
100206,632,0,0,0.577,195018
100207,595,3,0,0.184,339156
100208,698,3,0,0.431,314564
100209,672,3,0,0.396,0
100210,731,4,1,0.413,398547
100211,746,2,1,0.0,132128
100212,653,2,0,0.506,281472
100213,706,1,2,0.338,234010
100214,650,3,0,0.473,324526
100215,727,3,0,0.45,358527
100216,697,2,0,0.413,184478
100217,633,2,1,0.271,0
100218,626,2,1,0.273,109808
100219,700,5,1,0.339,524301
100220,767,3,1,0.384,260454
100221,747,2,0,0.265,632120
100222,609,3,2,0.539,408676
100223,617,4,2,0.284,613376
100224,628,3,2,0.154,107958
100225,635,1,1,0.469,92072
100226,543,0,5,0.726,414864
100227,739,7,2,0.116,170700
100228,645,2,4,0.325,81184
100229,714,4,2,0.563,103734
100230,656,0,0,0.464,658504
100231,678,1,1,0.474,166340
100232,628,2,1,0.356,54225
100233,677,1,1,0.0,463854
100234,614,0,3,0.402,133244
100235,678,1,2,0.425,0
100236,789,1,0,0.575,536325
100237,719,0,0,0.2,290376
100238,701,2,0,0.687,464208
100239,581,3,0,0.288,223402
100240,722,2,0,0.253,364342
100241,729,8,4,0.206,306045
100242,700,1,1,0.559,73084
100243,696,1,0,0.131,580173
100244,669,5,2,0.476,424800
100245,728,2,0,0.188,52280
100246,784,1,1,0.341,0
100247,704,2,0,0.045,84282
100248,607,2,2,0.507,166512
100249,612,3,2,0.32,397194
100250,734,3,0,0.461,534945
100251,607,1,0,0.314,83747
100252,695,1,1,0.456,207050
100253,654,4,0,0.341,85198
100254,599,3,0,0.498,436881
100255,742,2,1,0.457,129540
100256,733,3,1,0.389,318018
100257,578,3,0,0.17,262472
100258,716,1,2,0.263,499280
100259,705,3,2,0.196,0
100260,742,0,0,0.636,105972
100261,692,1,3,0.506,236076
100262,787,3,2,0.358,183828
100263,670,0,1,0.238,0
100264,659,2,0,0.192,357171
100265,606,3,1,0.374,130004
100266,609,4,0,0.719,304520
100267,603,1,1,0.351,594945
100268,696,3,5,0.59,366370
100269,659,0,1,0.405,229917
100270,704,1,1,0.463,172664
100271,589,1,1,0.255,362724
100272,615,3,0,0.311,489900
100273,614,2,1,0.184,0
100274,842,0,2,0.411,106353
100275,667,2,0,0.301,0
100276,675,2,1,0.422,72086
100277,674,4,0,0.153,273572
100278,796,3,0,0.441,433389
100279,558,5,0,0.384,0
100280,675,2,0,0.377,0
100281,558,4,2,0.428,34068
100282,501,3,1,0.302,0
100283,624,5,1,1.0,385460
100284,710,0,2,0.444,112464
100285,620,1,1,0.371,0
100286,709,2,3,0.498,0
100287,687,2,1,0.246,182309
100288,669,1,4,0.239,312872
100289,774,3,3,0.51,0
100290,635,6,1,0.528,387700
100291,708,5,1,0.588,671708
100292,544,0,1,0.065,0
100293,687,2,0,0.325,304366
100294,660,0,1,0.416,313004
100295,591,3,3,0.494,649920
100296,709,1,1,0.455,350148
100297,624,4,2,0.18,206548
100298,809,2,1,0.453,0
100299,497,3,1,0.414,293022
100300,698,0,4,0.414,96963
100301,683,2,3,0.131,263775
100302,658,2,0,0.163,106080
100303,640,1,0,0.712,489516
100304,685,4,1,0.547,300334
100305,759,1,1,0.337,671676
100306,554,1,1,0.341,146818
100307,619,1,0,0.795,0
100308,601,3,4,0.359,37456
100309,597,2,1,0.327,363928
100310,705,0,1,0.191,476968
100311,724,6,1,0.303,400956
100312,759,2,1,0.013,239836
100313,725,1,2,0.454,105174
100314,731,1,0,0.602,0
100315,574,4,1,0.604,295173
100316,791,4,1,0.21,307396
100317,664,2,0,0.0,349120
100318,757,5,0,0.418,355689
100319,576,1,1,0.614,348768
100320,661,0,0,0.029,457564
100321,750,4,0,0.275,0
100322,682,7,0,0.421,124594
100323,623,3,0,0.182,280527
100324,778,2,3,0.004,504141
100325,592,1,0,0.201,421665
100326,678,2,2,0.236,249568
100327,728,1,1,0.0,0
100328,837,1,1,0.564,384860
100329,645,3,3,0.661,692132
100330,659,3,0,0.356,40456
100331,646,6,3,0.496,0
100332,697,3,1,0.054,383592
100333,724,1,0,0.322,103544
100334,761,4,1,0.234,523638
100335,736,3,0,0.432,95916
100336,642,2,1,0.0,0
100337,741,7,0,0.289,0
100338,686,1,1,0.476,0
100339,735,0,0,0.398,115634
100340,740,1,0,0.507,423372
100341,802,2,0,0.23,116308
100342,653,5,3,0.0,183344
100343,639,1,1,0.57,229356
100344,713,2,0,0.502,267182
100345,768,1,2,0.664,315332
100346,684,2,0,0.365,132740
100347,773,1,4,0.433,0
100348,731,0,0,0.816,654576
100349,664,1,1,0.0,377352
100350,722,4,0,0.439,674564
100351,647,0,1,0.594,0
100352,697,2,0,0.393,674364
100353,599,3,2,0.363,103906
100354,674,1,0,0.053,39804
100355,754,2,0,0.643,192572
100356,737,3,1,0.564,37275
100357,726,4,2,0.607,328272
100358,701,3,0,0.346,250032
100359,691,5,0,0.286,393136
100360,584,1,0,0.349,0
100361,664,2,0,0.69,210404
100362,693,2,1,0.298,178647
100363,595,2,2,0.646,145410
100364,548,3,0,0.321,225663
100365,764,2,2,0.179,733764
100366,683,2,2,0.0,258468
100367,695,5,0,0.465,156630
100368,721,2,1,0.504,444720
100369,606,2,2,0.12,141268
100370,649,3,0,0.645,304436
100371,792,1,2,0.074,179390
100372,643,3,0,0.492,61239
100373,660,1,2,0.501,0
100374,629,2,0,0.565,165040
100375,624,2,1,0.0,486453
100376,762,2,0,0.563,91536
100377,494,2,1,0.321,749676
100378,645,5,0,0.282,0
100379,696,3,1,0.515,679248
100380,807,0,1,0.542,268594
100381,594,1,1,0.0,0
100382,582,1,1,0.092,170354
100383,615,0,1,0.59,0
100384,732,2,1,0.445,290264
100385,689,4,2,0.386,0
100386,571,3,2,0.153,180985
100387,687,0,1,0.438,295320
100388,796,1,0,0.594,299440
100389,699,3,1,0.814,450402
100390,692,3,2,0.279,153848
100391,696,2,2,0.525,559662
100392,711,1,0,0.721,152410
100393,584,1,1,0.06,491562
100394,662,0,1,0.71,0
100395,666,3,1,0.39,79842
100396,643,2,1,0.365,607252
100397,731,2,1,0.242,362564
100398,632,3,3,0.277,258807
100399,653,1,0,0.201,101832
100400,585,1,0,0.159,65418
100401,708,3,3,0.44,657428
100402,750,3,1,0.573,386622
100403,652,3,2,0.14,387972
100404,740,1,0,0.211,240504
100405,668,0,0,0.401,200246
100406,490,3,0,0.127,0
100407,676,2,0,0.399,215168
100408,666,2,0,0.296,127978
100409,687,3,0,0.022,323052
100410,698,2,0,0.444,74361
100411,628,6,3,0.238,168966
100412,790,1,0,0.555,325960
100413,675,3,0,0.311,338508
100414,665,3,2,0.208,0
100415,735,1,1,0.343,448912
100416,681,1,1,0.598,270306
100417,872,1,1,0.718,0
100418,664,1,3,0.469,466220
100419,706,3,2,0.232,0
100420,623,2,1,0.357,298674
100421,745,2,1,0.33,258922
100422,703,0,2,0.32,389584
100423,654,1,1,0.299,238648
100424,614,5,0,0.157,47030
100425,581,0,1,0.545,179550
100426,711,2,4,0.522,598412
100427,575,5,1,0.355,579300
100428,778,1,2,0.602,210576
100429,585,1,3,0.468,0
100430,666,2,1,0.127,228282
100431,613,1,1,0.279,0
100432,682,0,1,0.646,515064
100433,681,3,0,0.278,157733
100434,713,0,0,0.211,354238
100435,565,1,0,0.494,190115
100436,622,2,2,0.294,790056
100437,752,2,0,0.462,162756
100438,729,0,1,0.343,183772
100439,492,3,0,0.191,54487
100440,708,2,0,0.211,284307
100441,602,0,0,0.013,356092
100442,635,3,1,0.129,0
100443,662,3,0,0.476,274140
100444,796,2,2,0.591,577773
100445,601,4,1,0.228,31416
100446,574,1,1,0.075,42859
100447,713,2,2,0.578,215578
100448,677,3,2,0.583,249532
100449,770,2,0,0.495,0
100450,653,4,0,0.06,143538
100451,770,1,1,0.453,0
100452,681,1,1,0.46,0
100453,719,5,1,0.53,166570
100454,801,3,0,0.38,0
100455,667,2,1,0.2,0
100456,758,5,0,0.269,599848
100457,633,4,0,0.585,131000
100458,697,4,0,0.426,371914
100459,571,5,0,0.088,174645
100460,642,3,2,0.691,168640
100461,600,3,0,0.581,387477
100462,771,1,0,0.682,199696
100463,810,5,1,0.577,166226
100464,653,8,1,0.164,81272
100465,622,0,1,0.416,195718
100466,581,2,1,0.471,313642
100467,699,0,1,0.081,474232
100468,634,0,1,0.116,0
100469,638,2,2,0.499,0
100470,802,0,1,0.515,0
100471,657,2,2,0.824,0
100472,723,2,1,0.298,42088
100473,683,3,2,0.013,98301
100474,578,1,1,0.32,676988
100475,541,1,0,0.519,199959
100476,716,0,0,0.277,20961
100477,807,4,2,0.37,377460
100478,703,1,1,0.222,0
100479,726,1,1,0.589,126786
100480,612,2,0,0.499,0
100481,756,0,0,0.186,0
100482,755,2,2,0.246,90077
100483,627,2,0,0.214,545250
100484,720,2,2,0.0,0
100485,547,0,0,0.198,784904
100486,734,4,0,0.0,639672
100487,637,5,2,0.537,0
100488,587,2,0,0.553,127851
100489,710,1,0,0.29,90565
100490,547,1,1,0.391,157604
100491,705,2,2,0.564,108816
100492,595,1,2,0.507,199685
100493,579,2,1,0.751,218612
100494,684,3,3,0.402,584648
100495,667,2,1,0.641,132416
100496,789,2,0,0.369,667708
100497,583,1,0,0.326,0
100498,783,5,0,0.486,423189
100499,594,0,0,0.46,172910
100500,748,3,0,0.228,188118
100501,762,0,2,0.185,0
100502,704,2,1,0.365,320870
100503,620,3,1,0.0,139022
100504,565,2,0,0.288,76738
100505,533,2,1,0.154,299373
100506,818,2,0,0.235,64320
100507,657,3,0,0.194,129415
100508,597,2,3,0.504,561440
100509,594,0,0,0.439,0
100510,692,1,1,0.361,61665
100511,650,4,0,0.273,127729
100512,536,2,1,0.557,195296
100513,744,2,0,0.53,146919
100514,705,1,2,0.328,86140
100515,817,1,1,0.621,0
100516,765,2,2,0.312,559092
100517,447,1,3,0.391,128524
100518,786,1,1,0.235,222042
100519,770,3,0,0.271,89174
100520,624,3,3,0.225,238566
100521,647,1,0,0.488,184112
100522,710,3,0,0.425,131086
100523,603,3,0,0.139,218354
100524,661,2,0,0.463,177645
100525,755,1,1,0.709,181360
100526,718,3,1,0.218,557284
100527,629,2,0,0.207,611040
100528,756,2,0,0.352,400872
100529,702,2,1,0.626,414060
100530,700,3,0,0.262,0
100531,641,1,3,0.718,0
100532,679,3,0,0.139,0
100533,621,1,3,0.388,43998
100534,534,5,0,0.01,599776
100535,659,2,0,0.163,0
100536,670,1,1,0.307,237177
100537,690,2,1,0.404,114450
100538,770,2,1,0.598,530547
100539,631,1,1,0.21,375936
100540,652,0,2,0.434,94278
100541,737,2,4,0.082,523959
100542,623,3,0,0.552,95986
100543,691,1,0,0.612,62048
100544,649,2,2,0.558,491985
100545,661,4,1,0.557,492468
100546,736,2,3,0.332,103096
100547,651,2,1,0.405,173639
100548,739,2,1,0.331,0
100549,533,2,1,0.341,470208
100550,572,3,2,0.201,94266
100551,506,2,0,0.406,261780
100552,592,1,2,0.434,88164
100553,819,2,1,0.547,75296
100554,678,2,0,0.428,191500
100555,625,1,3,0.526,37734
100556,738,2,3,0.201,143400
100557,749,0,1,0.635,67572
100558,588,4,1,0.302,288516
100559,867,3,2,0.0,148790
100560,700,2,1,0.272,542660
100561,710,5,0,0.465,322389
100562,717,4,2,0.366,169526
100563,717,2,0,0.0,107773
100564,633,1,1,0.393,244152
100565,838,0,0,0.375,221204
100566,658,0,0,0.156,136582
100567,751,2,0,0.463,159448
100568,644,0,6,0.323,236928
100569,631,4,1,0.0,41735
100570,822,1,1,0.489,120344
100571,671,2,0,0.385,310455
100572,677,3,1,0.653,40509
100573,701,2,2,0.177,229868
100574,875,5,2,0.303,186679
100575,842,1,2,0.563,391158
100576,776,0,0,0.167,400086
100577,894,3,0,0.556,0
100578,609,2,0,0.561,576048
100579,729,3,0,0.413,118616
100580,685,2,1,0.317,653936
100581,547,0,1,0.221,363141
100582,714,2,1,0.206,712888
100583,643,1,2,0.412,382420
100584,795,3,1,0.0,365808
100585,650,3,0,0.239,278638
100586,646,1,1,0.211,0
100587,794,0,0,0.152,89128
100588,675,3,1,0.387,304359
100589,767,1,1,0.056,286970
100590,711,6,0,0.591,81714
100591,712,2,1,0.533,484204
100592,661,1,2,0.622,144937
100593,717,2,2,0.245,0
100594,670,2,1,0.392,470166
100595,619,0,2,0.515,138913
100596,672,3,2,0.324,0
100597,776,1,2,0.237,432372
100598,720,2,0,0.374,37807
100599,737,2,3,0.309,353568
100600,680,3,0,0.136,536811
100601,534,1,1,0.0,110811
100602,588,1,0,0.165,0
100603,658,2,0,0.0,132233
100604,594,1,1,0.176,314628
100605,640,3,0,0.634,494712
100606,637,1,2,0.0,237984
100607,640,4,2,0.44,299463
100608,787,0,0,0.595,135704
100609,676,2,1,0.035,0
100610,750,5,1,0.709,170670
100611,692,3,1,0.335,0
100612,786,3,1,0.622,180466
100613,756,2,1,0.404,0
100614,635,4,0,0.258,0
100615,827,3,0,0.0,256059
100616,645,0,1,0.127,175520
100617,695,1,3,0.486,422080
100618,708,6,3,0.657,97950
100619,716,4,3,0.069,310164
100620,739,5,0,0.338,560012
100621,623,3,1,0.261,187160
100622,733,3,0,0.434,426711
100623,723,0,1,0.368,181788
100624,680,2,0,0.276,60653
100625,665,2,1,0.478,126172
100626,619,3,2,0.212,732908
100627,716,1,1,0.352,314842
100628,630,5,2,0.504,43347
100629,697,7,1,0.205,178776
100630,672,3,0,0.278,0
100631,579,2,2,0.238,222426
100632,609,4,2,0.44,656928
100633,710,1,1,0.42,257769
100634,640,0,1,0.246,267564
100635,638,2,2,0.418,0
100636,622,2,1,0.0,500490
100637,625,0,3,0.517,0
100638,803,2,2,0.529,706716
100639,596,0,0,0.249,58513
100640,790,1,1,0.209,408684
100641,655,0,0,0.338,0
100642,630,2,0,0.168,137016
100643,708,1,0,0.199,185457
100644,683,1,0,0.412,376224
100645,665,0,1,0.512,365350
100646,696,0,0,0.414,0
100647,682,1,1,0.927,0
100648,663,0,2,0.6,386331
100649,750,7,1,0.497,134917
100650,571,1,0,0.49,574650
100651,611,4,2,0.367,203428
100652,620,2,2,0.451,415008
100653,600,4,1,0.39,187556
100654,686,2,3,0.56,149682
100655,717,2,0,0.294,415098
100656,532,2,0,0.283,0
100657,644,4,3,0.586,444111
100658,655,1,1,0.258,48357
100659,658,2,0,0.161,0
100660,583,3,1,0.2,364568
100661,656,5,1,0.5,103548
100662,611,1,2,0.884,413592
100663,654,2,0,0.172,557784
100664,551,0,0,0.479,52080
100665,655,3,1,0.381,164512
100666,626,3,2,0.576,592212
100667,660,0,1,0.477,265450
100668,702,1,1,0.588,145113
100669,676,0,1,0.408,0
100670,739,0,1,0.183,263637
100671,652,1,2,0.214,474780
100672,726,3,1,0.392,239084
100673,764,2,1,0.443,318320
100674,700,5,0,0.273,130432
100675,678,2,4,0.753,0
100676,711,2,0,0.538,61240
100677,703,2,0,0.0,40723
100678,755,1,1,0.325,183426
100679,739,2,3,0.144,246012
100680,740,1,1,0.731,0
100681,683,0,2,0.0,551796
100682,705,4,3,0.434,310652
100683,704,1,0,0.375,175582
100684,589,3,0,0.513,245674
100685,760,1,0,0.415,269811
100686,554,2,1,0.764,0
100687,733,2,1,0.534,420836
100688,700,1,0,0.0,542175
100689,658,2,3,0.631,0
100690,709,0,3,0.391,515682
100691,711,2,1,0.631,92403
100692,581,1,1,0.287,133888
100693,786,1,2,0.138,224008
100694,685,0,1,0.1,0
100695,853,3,0,0.562,389464
100696,739,1,2,0.509,122356
100697,683,2,3,0.232,320468
100698,628,1,0,0.0,0
100699,671,5,0,0.57,0
100700,691,1,0,0.0,219320
100701,789,4,1,0.785,159088
100702,771,1,0,0.061,73881
100703,713,0,1,0.353,583576
100704,812,3,1,0.396,138159
100705,528,3,0,0.423,525784
100706,714,2,0,0.415,0
100707,774,3,1,0.376,274902
100708,721,2,0,0.263,183301
100709,580,2,1,0.305,366333
100710,784,1,4,0.22,369120
100711,737,2,2,0.373,41341
100712,705,3,0,0.0,141500
100713,686,1,0,0.413,462568
100714,829,2,0,0.33,342508
100715,713,2,0,0.518,270290
100716,661,2,0,0.289,330060
100717,619,2,4,0.47,21884
100718,736,1,2,0.46,197936
100719,753,2,0,0.322,530344
100720,684,0,0,0.421,210082
100721,638,3,0,0.081,99738
100722,779,3,0,0.618,383068
100723,613,1,0,0.241,0
100724,827,3,0,0.314,60720
100725,624,6,0,0.139,88785
100726,584,4,1,0.196,316869
100727,593,1,0,0.679,185821
100728,596,1,2,0.378,101754
100729,662,0,1,0.291,148660
100730,644,0,0,0.29,0
100731,756,2,0,0.35,128288
100732,746,1,1,0.494,143252
100733,663,2,1,0.389,622152
100734,900,5,1,0.393,109998
100735,662,5,1,0.165,234345
100736,672,2,1,0.291,576708
100737,584,3,2,0.381,128715
100738,673,2,2,0.344,330999
100739,702,2,0,0.267,158796
100740,591,0,1,0.248,0
100741,642,2,1,0.437,103518
100742,704,1,1,0.442,547218
100743,640,4,1,0.548,555800
100744,624,0,1,0.389,206924
100745,738,4,1,0.0,478215
100746,583,6,1,0.822,0
100747,598,3,1,0.348,0
100748,693,2,2,0.268,122370
100749,743,2,0,0.338,469686
100750,702,1,0,0.271,272220
100751,663,2,1,0.186,386277
100752,657,2,2,0.473,276788
100753,755,2,1,0.32,472652
100754,744,2,0,0.332,168665
100755,683,3,2,0.0,377636
100756,659,2,3,0.305,223968
100757,682,1,3,0.135,230496
100758,625,2,2,0.246,0
100759,668,2,1,0.397,694780
100760,643,3,0,0.227,222942
100761,672,2,1,0.255,453660
100762,645,3,2,0.369,332670
100763,719,1,1,0.249,44449
100764,741,3,2,0.139,602680
100765,651,3,0,0.006,590760
100766,619,4,0,0.417,468552
100767,733,3,2,0.247,545620
100768,693,2,1,0.017,0
100769,652,1,2,0.599,0
100770,783,5,3,0.418,263697
100771,637,0,0,0.112,190032
100772,530,0,0,0.209,88643
100773,626,3,2,0.559,470100
100774,801,4,1,0.315,544756
100775,656,2,0,0.266,0
100776,641,5,1,0.5,35180
100777,681,1,0,0.316,490347
100778,755,0,1,0.596,63548
100779,673,3,1,0.267,588604
100780,724,2,2,0.236,288646
100781,665,2,2,0.353,75003
100782,724,1,2,0.543,40319
100783,693,2,1,0.4,0
100784,650,2,1,0.371,538548
100785,699,5,0,0.189,43214
100786,639,3,1,0.159,291444
100787,576,0,1,0.543,0
100788,678,4,1,0.564,466596
100789,583,1,0,0.558,0
100790,724,5,1,0.508,0
100791,677,1,3,0.439,364203
100792,786,5,1,0.436,527568
100793,655,1,0,0.377,59314
100794,678,1,0,0.462,466776
100795,569,3,0,0.342,0
100796,597,1,1,0.462,375112
100797,554,1,3,0.534,49577
100798,760,2,0,0.098,198671
100799,645,3,0,0.569,151674
100800,779,1,0,0.338,254292
100801,478,4,0,0.642,609128
100802,796,0,1,0.604,167614
100803,674,2,0,0.144,405168
100804,705,1,2,0.35,777504
100805,600,2,1,0.0,472940
100806,719,2,1,0.273,22843
100807,651,2,0,0.421,79668
100808,590,3,0,0.519,453052
100809,589,3,0,0.364,392550
100810,588,3,1,0.439,103064
100811,708,2,0,0.21,289112
100812,632,4,0,0.346,120856
100813,556,3,1,0.232,85553
100814,707,6,0,0.407,263848
100815,517,3,1,0.628,183070
100816,779,1,0,0.339,392916
100817,828,2,0,0.076,143825
100818,581,7,2,0.389,740508
100819,758,2,0,0.491,0
100820,706,1,0,0.166,212808
100821,642,5,2,0.598,186337
100822,645,3,4,0.231,0
100823,729,5,0,0.198,0
100824,677,2,1,0.0,0
100825,485,0,1,0.404,217080
100826,835,0,1,0.713,127214
100827,712,1,1,0.423,588030
100828,676,2,1,0.203,0
100829,626,3,2,0.453,595761
100830,665,2,0,0.51,390504
100831,775,2,1,0.582,110852
100832,699,3,2,0.103,182462
100833,708,1,1,0.661,298242
100834,586,7,1,0.393,378792
100835,653,2,3,0.701,0
100836,683,6,0,0.381,0
100837,732,1,2,0.465,0
100838,648,0,0,0.16,316280
100839,749,1,0,0.547,422133
100840,594,6,1,0.135,0
100841,685,2,0,0.404,66686
100842,672,2,0,0.264,268772
100843,566,1,1,0.332,201260
100844,676,1,1,0.567,333630
100845,636,1,2,0.279,436503
100846,786,1,0,0.571,64765
100847,649,2,2,0.269,394836
100848,706,2,0,0.376,291780
100849,587,2,3,0.78,452380
100850,697,0,1,0.374,526677
100851,648,1,0,0.335,0
100852,621,4,2,0.378,103764
100853,892,5,2,0.284,154996
100854,653,2,0,0.15,150530
100855,664,4,1,0.762,68469
100856,747,0,0,0.269,0
100857,622,3,1,0.046,0
100858,710,6,2,0.319,147672
100859,718,0,2,0.421,181035
100860,698,6,0,0.308,0
100861,852,2,2,0.34,243020
100862,619,3,0,0.317,61722
100863,795,3,1,0.435,333723
100864,715,0,1,0.514,0
100865,748,1,0,0.312,383552
100866,705,1,2,0.868,723644
100867,820,1,0,0.558,0
100868,655,2,2,0.349,0
100869,717,6,1,0.086,148706
100870,777,2,1,0.373,0
100871,638,3,0,0.513,77554
100872,755,2,0,0.514,0
100873,678,7,0,0.0,397857
100874,587,3,1,0.373,319280
100875,571,1,0,0.254,579651
100876,673,2,2,0.649,715708
100877,754,2,1,0.375,424956
100878,524,2,2,0.0,125366
