bureau_record_id,customer_id,credit_score,enquiries_last_6m,credit_utilization_ratio,total_outstanding_loans,total_outstanding_amount,created_at
65,100064,415,3,0.32,2,"₹145,530",2026-01-16 14:55:41
66,100065,,9,,0,0,2025-07-29 14:55:41
67,100066,616,4,0.37,0,0,2025-08-30 14:55:41
68,100067,593,4,1.5,2,173208,2025-10-25 14:55:41
69,100068,797,2,,1,142819,2025-11-07 14:55:41
70,100069,429,4,0.33,0,0,2025-12-05 14:55:41
71,100070,827,8,,4,307120,2026-01-15 14:55:41
72,100071,636,9,0.47,5,591545,2025-08-15 14:55:41
73,100072,608,10,0.94,4,446396,2025-12-05 14:55:41
74,100073,742,9,0.96,2,272152,2025-09-29 14:55:41
75,100074,492,7,0.81,5,136335,2025-07-29 14:55:41
76,100075,668,7,0.55,2,,2025-12-29 14:55:41
77,100076,614,5,0.26,1,129976,2025-11-10 14:55:41
78,100077,338,2,0.81,4,538180,2025-09-26 14:55:41
79,100078,891,11,0.53,1,44299,2025-10-14 14:55:41
80,100079,406,11,0.45,1,53299,2026-01-08 14:55:41
81,100080,667,6,0.73,1,"48,801",2025-08-23 14:55:41
82,100081,381,2,0.55,5,74300,2025-09-07 14:55:41
83,100082,639,11,0.44,1,"₹11,067",2025-11-25 14:55:41
84,100083,597,7,0.08,1,58976,2026-01-05 14:55:41
85,100084,425,7,,1,132353,2025-11-29 14:55:41
86,100085,747,10,0.48,2,55038,2025-07-07 14:55:41
87,100086,757,10,0.96,0,0,2025-09-09 14:55:41
88,100087,566,9,0.09,2,54272,2025-11-16 14:55:41
89,100088,390,9,1.5,0,0,2025-10-18 14:55:41
90,100089,630,9,0.2,0,,2025-08-08 14:55:41
91,100090,600,0,0.85,4,535696,2025-10-03 14:55:41
92,100091,348,1,,0,0,2026-01-16 14:55:41
93,100092,466,10,0.35,1,134493,2025-11-25 14:55:41
94,100093,643,12,0.48,0,0,2025-09-09 14:55:41
95,100094,621,6,0.17,4,"₹531,480",2025-09-02 14:55:41
96,100095,523,11,0.72,4,418356,2025-08-21 14:55:41
97,100096,,1,0.03,5,103325,2025-12-29 14:55:41
98,100097,679,5,0.66,5,107615,2025-11-27 14:55:41
99,100098,458,9,0.23,2,89070,2025-10-25 14:55:41
100,100099,50,2,0.68,0,0,2025-10-05 14:55:41
101,100100,621,7,0.58,5,267450,2025-08-04 14:55:41
102,100101,572,2,0.92,4,451628,2025-07-20 14:55:41
103,100102,883,3,0.03,3,234918,2025-07-12 14:55:41
104,100103,578,11,0.84,4,--,2025-12-08 14:55:41
105,100104,367,8,0.44,1,34477,2026-01-12 14:55:41
106,100105,,2,0.23,0,0,2026-01-02 14:55:41
107,100106,310,3,0.9,3,18174,2025-12-19 14:55:41
108,100107,811,9,,3,39090,2026-01-06 14:55:41
109,100108,733,11,0.74,2,150544,2025-12-29 14:55:41
110,100109,432,4,0.24,1,36907,2026-01-14 14:55:41
111,100110,655,9,0.16,3,124113,2025-11-22 14:55:41
112,100111,485,11,0.82,2,18612,2025-08-24 14:55:41
113,100112,548,1,0.88,1,88980,2025-09-12 14:55:41
114,100113,326,1,0.21,3,31092,2025-12-02 14:55:41
115,100114,876,6,,2,121848,2025-10-25 14:55:41
116,100115,442,8,0.7,4,51660,2026-01-15 14:55:41
117,100116,700,12,0.94,2,22098,2025-07-10 14:55:41
118,100117,849,9,0.47,1,97103,2025-08-07 14:55:41
119,100118,622,10,0.24,1,49455,2025-07-12 14:55:41
120,100119,501,5,0.39,2,169370,2025-08-12 14:55:41
121,100120,1200,7,0.66,4,25012,2025-11-14 14:55:41
122,100121,865,10,0.81,5,518925,2025-07-10 14:55:41
123,100122,665,1,0.77,0,0,2026-01-03 14:55:41
124,100123,531,11,0.79,5,445070,2025-07-20 14:55:41
125,100124,642,1,0.18,4,"458,368",2026-01-12 14:55:41
126,100125,427,10,0.16,4,,2025-08-08 14:55:41
127,100126,50,9,-0.5,5,428670,2025-12-22 14:55:41
128,100127,624,11,0.65,0,0,2025-10-18 14:55:41
129,100128,802,6,0.71,3,307512,2025-09-13 14:55:41
130,100129,439,5,0.86,3,"₹119,589",2025-12-18 14:55:41
131,100130,,2,0.3,3,375417,2025-12-17 14:55:41
132,100131,348,7,0.44,2,242166,2025-11-19 14:55:41
133,100132,493,6,0.09,2,116340,2025-08-15 14:55:41
134,100133,872,9,0.54,1,127403,2025-08-10 14:55:41
135,100134,434,1,0.78,4,,2025-12-30 14:55:41
136,100135,836,4,0.47,2,166998,2025-08-21 14:55:41
137,100136,653,3,0.1,3,250749,2025-08-05 14:55:41
138,100137,631,9,0.69,0,0,2025-09-22 14:55:41
139,100138,648,0,0.32,5,"561,525",2025-07-10 14:55:41
140,100139,791,7,0.92,3,153705,2025-10-17 14:55:41
141,100140,831,4,0.41,4,84416,2025-12-28 14:55:41
142,100141,749,11,0.53,5,389065,2025-12-18 14:55:41
143,100142,644,10,0.01,2,158988,2025-09-02 14:55:41
144,100143,651,12,0.05,3,41277,2025-08-10 14:55:41
145,100144,552,10,0.95,0,0,2025-10-17 14:55:41
146,100145,582,2,0.99,1,57641,2025-11-03 14:55:41
147,100146,838,12,0.05,5,486100,2025-11-02 14:55:41
148,100147,478,0,-0.5,3,360543,2025-09-08 14:55:41
149,100148,834,10,,1,82179,2025-12-15 14:55:41
150,100149,331,12,0.35,3,288462,2026-01-12 14:55:41
151,100150,851,8,0.01,0,0,2026-01-01 14:55:41
152,100151,604,2,0.02,2,"₹169,344",2026-01-08 14:55:41
153,100152,379,3,0.67,3,209076,2025-10-07 14:55:41
154,100153,583,11,0.78,2,,2025-08-25 14:55:41
155,100154,590,6,,5,"₹267,515",2025-10-09 14:55:41
156,100155,789,3,0.42,0,--,2025-10-17 14:55:41
157,100156,599,12,0.33,1,,2025-12-21 14:55:41
158,100157,687,9,0.01,0,0,2025-11-09 14:55:41
159,100158,870,0,0.6,0,0,2026-01-01 14:55:41
160,100159,772,9,0.19,5,513210,2025-08-09 14:55:41
161,100160,473,2,0.91,4,318072,2025-08-13 14:55:41
162,100161,782,2,0.49,4,"251,960",2025-12-15 14:55:41
163,100162,628,2,0.2,1,"14,559",2025-08-30 14:55:41
164,100163,826,2,0.97,3,"93,975",2025-11-29 14:55:41
165,100164,589,5,0.59,1,69797,2025-11-25 14:55:41
166,100165,844,10,0.26,5,536520,2025-09-05 14:55:41
167,100166,701,4,0.81,5,"715,840",2025-09-19 14:55:41
168,100167,359,11,0.59,0,,2025-12-11 14:55:41
169,100168,712,12,0.76,0,0,2026-01-12 14:55:41
170,100169,550,12,0.19,1,73406,2025-08-09 14:55:41
171,100170,895,12,0.1,4,64536,2025-10-14 14:55:41
172,100171,819,5,0.96,5,253420,2025-12-10 14:55:41
173,100172,773,9,0.8,1,144266,2025-09-05 14:55:41
174,100173,719,12,0.4,5,"93,335",2025-10-23 14:55:41
175,100174,1200,11,0.01,4,"445,728",2025-07-23 14:55:41
176,100175,,7,0.02,5,"634,250",2025-10-08 14:55:41
177,100176,794,10,0.28,5,"480,365",2025-09-22 14:55:41
178,100177,395,9,0.94,1,,2025-10-09 14:55:41
179,100178,560,0,0.59,3,"₹272,223",2025-11-14 14:55:41
180,100179,325,4,0.81,5,555345,2025-12-20 14:55:41
181,100180,348,6,0.92,4,116140,2025-12-29 14:55:41
182,100181,337,8,0.66,0,0,2025-11-02 14:55:41
183,100182,359,3,0.34,1,34007,2025-12-15 14:55:41
184,100183,743,9,0.08,3,85692,2025-07-29 14:55:41
185,100184,834,5,0.85,1,"146,818",2025-08-12 14:55:41
186,100185,858,8,0.81,1,"₹134,169",2025-07-27 14:55:41
187,100186,827,5,0.29,5,"266,125",2025-12-08 14:55:41
188,100187,859,11,0.53,4,119092,2025-09-20 14:55:41
189,100188,627,4,0.21,2,197938,2025-11-29 14:55:41
190,100189,582,3,0.18,3,419571,2026-01-11 14:55:41
191,100190,330,9,0.66,5,93985,2025-12-27 14:55:41
192,100191,772,12,0.4,0,0,2026-01-01 14:55:41
193,100192,523,3,0.48,2,47432,2026-01-16 14:55:41
194,100193,608,7,0.32,3,"₹45,333",2025-12-24 14:55:41
195,100194,391,0,-0.5,4,458492,2025-08-05 14:55:41
196,100195,887,12,0.91,3,101616,2025-09-27 14:55:41
197,100196,753,4,0.2,4,"351,704",2025-07-21 14:55:41
198,100197,,7,0.16,0,0,2025-10-29 14:55:41
199,100198,320,3,0.01,0,0,2025-08-13 14:55:41
200,100199,408,5,0.91,1,26945,2025-07-09 14:55:41
201,100200,377,8,0.82,4,380240,2025-10-14 14:55:41
202,100201,531,1,,5,153055,2025-08-06 14:55:41
203,100202,864,6,0.16,5,427300,2025-09-16 14:55:41
204,100203,640,4,0.62,5,740585,2025-11-20 14:55:41
205,100204,,7,0.29,2,"253,536",2025-10-20 14:55:41
206,100205,656,12,0.76,0,0,2025-10-24 14:55:41
207,100206,583,6,0.88,5,697485,2026-01-01 14:55:41
208,100207,713,2,0.76,1,"88,534",2025-08-03 14:55:41
209,100208,391,2,0.26,5,156160,2025-08-11 14:55:41
210,100209,477,0,,5,"₹278,750",2026-01-01 14:55:41
211,100210,578,6,0.63,3,--,2025-08-07 14:55:41
212,100211,749,6,0.09,0,,2025-09-12 14:55:41
213,100212,333,8,0.23,5,"48,440",2025-11-15 14:55:41
214,100213,321,7,0.86,4,304244,2025-09-08 14:55:41
215,100214,686,12,0.5,3,--,2025-11-19 14:55:41
216,100215,820,1,0.66,4,75684,2025-09-26 14:55:41
217,100216,812,12,0.46,2,,2025-10-17 14:55:41
218,100217,484,1,0.53,3,20097,2025-09-09 14:55:41
219,100218,746,8,0.86,5,629260,2025-09-10 14:55:41
220,100219,569,8,0.68,4,570444,2025-12-09 14:55:41
221,100220,424,5,0.12,0,0,2025-10-12 14:55:41
222,100221,479,9,0.49,2,184204,2025-11-11 14:55:41
223,100222,669,8,0.27,4,382164,2025-08-23 14:55:41
224,100223,542,10,1.0,2,278138,2025-10-15 14:55:41
225,100224,513,10,0.04,4,128760,2025-12-27 14:55:41
226,100225,736,11,0.41,3,94587,2025-08-03 14:55:41
227,100226,428,10,0.46,3,99978,2025-07-02 14:55:41
228,100227,877,7,0.66,0,0,2025-09-01 14:55:41
229,100228,,12,0.19,5,705690,2025-11-19 14:55:41
230,100229,838,5,0.32,3,,2025-08-10 14:55:41
231,100230,702,11,0.71,3,27942,2025-11-20 14:55:41
232,100231,494,12,0.28,1,106598,2026-01-06 14:55:41
233,100232,840,11,0.47,3,229962,2025-09-12 14:55:41
234,100233,1200,12,0.17,5,105225,2026-01-08 14:55:41
235,100234,455,0,0.19,0,0,2025-08-28 14:55:41
236,100235,304,9,0.05,1,44234,2025-10-04 14:55:41
237,100236,587,4,0.63,0,0,2025-12-11 14:55:41
238,100237,444,2,0.23,2,"78,276",2025-11-11 14:55:41
239,100238,554,3,0.42,5,693020,2025-07-25 14:55:41
240,100239,340,5,0.81,0,0,2025-12-19 14:55:41
241,100240,633,8,0.66,5,377855,2025-08-07 14:55:41
242,100241,886,6,0.1,3,149253,2025-09-03 14:55:41
243,100242,365,4,0.94,0,0,2025-09-23 14:55:41
244,100243,1200,1,0.19,2,"₹57,512",2025-08-10 14:55:41
245,100244,379,12,0.52,2,"244,572",2025-12-24 14:55:41
246,100245,678,4,0.35,1,,2025-11-02 14:55:41
247,100246,697,9,0.32,2,,2025-08-21 14:55:41
248,100247,873,10,0.14,2,170750,2025-08-06 14:55:41
249,100248,736,0,0.61,3,122520,2025-09-01 14:55:41
250,100249,534,10,0.24,0,--,2025-08-18 14:55:41
251,100250,727,3,0.26,3,24573,2025-11-04 14:55:41
252,100251,846,2,0.65,4,146608,2025-07-24 14:55:41
253,100252,796,4,0.99,3,"₹430,872",2025-10-19 14:55:41
254,100253,831,6,0.04,0,0,2025-11-19 14:55:41
255,100254,747,2,0.62,5,681145,2025-11-11 14:55:41
256,100255,797,6,0.65,2,273520,2025-08-20 14:55:41
257,100256,408,4,0.49,3,190701,2025-08-31 14:55:41
258,100257,675,7,0.1,2,252518,2025-07-12 14:55:41
259,100258,386,0,0.02,0,0,2025-08-02 14:55:41
260,100259,400,2,0.22,2,298710,2025-09-10 14:55:41
261,100260,545,12,0.72,1,137440,2025-10-15 14:55:41
262,100261,857,8,0.75,3,146724,2025-12-27 14:55:41
263,100262,419,8,1.0,5,196820,2026-01-17 14:55:41
264,100263,689,8,0.75,2,296004,2025-11-16 14:55:41
265,100264,498,2,0.41,5,65390,2025-09-23 14:55:41
266,100265,643,10,0.57,1,136775,2025-11-11 14:55:41
267,100266,551,12,0.87,2,--,2025-08-21 14:55:41
268,100267,661,10,0.85,2,N/A,2025-11-19 14:55:41
269,100268,483,10,0.78,5,237305,2025-12-27 14:55:41
270,100269,561,8,0.89,5,689880,2025-12-31 14:55:41
271,100270,739,1,0.58,1,45625,2025-09-10 14:55:41
272,100271,586,10,0.33,1,43393,2025-08-02 14:55:41
273,100272,1200,6,0.95,3,243573,2025-07-06 14:55:41
274,100273,,7,0.94,4,183548,2025-12-26 14:55:41
275,100274,897,1,0.74,0,0,2025-12-29 14:55:41
276,100275,468,2,0.45,4,314440,2025-10-31 14:55:41
277,100276,633,5,0.66,1,"₹71,719",2025-12-12 14:55:41
278,100277,309,5,1.0,2,149088,2025-10-14 14:55:41
279,100278,308,6,0.86,1,94380,2025-12-10 14:55:41
280,100279,,3,0.42,3,,2025-10-27 14:55:41
281,100280,734,10,0.67,1,--,2025-08-30 14:55:41
282,100281,704,1,0.88,3,172533,2025-09-07 14:55:41
283,100282,732,11,0.88,1,100604,2025-12-29 14:55:41
284,100283,892,5,0.91,0,--,2025-10-07 14:55:41
285,100284,468,8,0.36,2,"63,360",2025-08-21 14:55:41
286,100285,558,7,0.51,0,,2025-12-25 14:55:41
287,100286,796,2,0.7,0,0,2025-09-28 14:55:41
288,100287,725,10,0.74,5,693070,2025-09-23 14:55:41
289,100288,496,10,0.88,4,126248,2025-12-22 14:55:41
290,100289,802,9,0.28,0,,2025-11-02 14:55:41
291,100290,887,10,0.46,0,N/A,2025-07-05 14:55:41
292,100291,494,7,0.01,0,0,2025-12-22 14:55:41
293,100292,531,5,0.62,3,390333,2025-09-30 14:55:41
294,100293,595,12,0.39,4,N/A,2025-11-10 14:55:41
295,100294,784,11,0.5,1,--,2025-09-30 14:55:41
296,100295,847,8,0.5,0,0,2025-07-29 14:55:41
297,100296,473,12,0.4,3,292185,2025-12-31 14:55:41
298,100297,344,2,0.17,3,286209,2025-10-26 14:55:41
299,100298,793,10,0.32,5,39370,2025-08-26 14:55:41
300,100299,521,8,0.48,2,244634,2025-07-19 14:55:41
301,100300,709,9,0.28,0,--,2025-12-10 14:55:41
302,100301,822,11,0.11,1,133070,2025-10-25 14:55:41
303,100302,405,9,0.3,4,177936,2025-09-22 14:55:41
304,100303,323,6,0.59,2,97986,2025-10-28 14:55:41
305,100304,596,0,-0.5,0,0,2025-12-16 14:55:41
306,100305,820,8,0.83,0,0,2025-11-23 14:55:41
307,100306,629,9,0.85,1,109915,2025-09-01 14:55:41
308,100307,801,1,0.45,0,0,2025-11-20 14:55:41
309,100308,851,10,0.22,4,314708,2025-09-02 14:55:41
310,100309,898,3,0.41,2,"₹241,376",2025-11-25 14:55:41
311,100310,,10,0.31,4,443892,2025-09-15 14:55:41
312,100311,833,8,0.91,1,55305,2025-08-31 14:55:41
313,100312,549,0,0.13,2,267990,2025-12-09 14:55:41
314,100313,306,3,0.92,3,"₹160,341",2025-11-05 14:55:41
315,100314,389,0,0.82,2,282976,2026-01-01 14:55:41
316,100315,739,8,0.82,3,"₹63,885",2025-08-16 14:55:41
317,100316,717,9,0.16,1,--,2025-10-02 14:55:41
318,100317,347,2,0.44,1,111523,2026-01-12 14:55:41
319,100318,508,4,0.16,5,118670,2025-10-13 14:55:41
320,100319,647,8,,5,384525,2025-07-03 14:55:41
321,100320,397,4,0.03,4,--,2025-08-30 14:55:41
322,100321,521,7,0.47,0,₹0,2025-11-21 14:55:41
323,100322,443,2,0.57,5,38475,2025-10-17 14:55:41
324,100323,376,4,0.96,3,"₹119,214",2025-09-02 14:55:41
325,100324,792,4,0.53,2,95580,2025-07-05 14:55:41
326,100325,363,9,0.07,3,304698,2025-09-21 14:55:41
327,100326,751,12,0.24,5,589160,2025-09-27 14:55:41
328,100327,598,5,0.01,0,0,2026-01-05 14:55:41
329,100328,404,2,0.96,4,,2025-10-17 14:55:41
330,100329,813,9,1.0,5,568145,2025-12-15 14:55:41
331,100330,477,1,0.99,5,660710,2025-11-13 14:55:41
332,100331,553,12,0.17,0,₹0,2025-09-26 14:55:41
333,100332,778,0,0.61,4,69884,2025-08-30 14:55:41
334,100333,367,6,0.98,2,"56,024",2025-10-22 14:55:41
335,100334,468,7,0.13,5,605435,2025-09-08 14:55:41
336,100335,482,1,0.93,3,284574,2025-10-31 14:55:41
337,100336,728,11,0.26,2,289090,2025-10-13 14:55:41
338,100337,772,9,0.88,3,"25,260",2025-12-21 14:55:41
339,100338,869,8,0.9,2,140994,2025-07-04 14:55:41
340,100339,301,0,0.56,0,₹0,2025-08-14 14:55:41
341,100340,,9,0.87,3,207453,2025-11-22 14:55:41
342,100341,353,0,0.2,2,"₹95,466",2026-01-07 14:55:41
343,100342,441,1,0.3,0,0,2025-08-19 14:55:41
344,100343,815,4,,1,9091,2025-10-07 14:55:41
345,100344,,12,0.9,4,"215,508",2025-12-05 14:55:41
346,100345,743,9,0.55,4,--,2025-10-25 14:55:41
347,100346,838,7,0.23,0,0,2025-08-14 14:55:41
348,100347,,4,0.65,2,"₹128,796",2025-09-07 14:55:41
349,100348,844,2,0.61,2,169534,2025-07-30 14:55:41
350,100349,636,3,0.14,0,N/A,2025-11-21 14:55:41
351,100350,,10,0.6,5,277140,2025-08-13 14:55:41
352,100351,448,4,0.15,0,--,2025-11-27 14:55:41
353,100352,822,0,0.77,1,36578,2025-09-18 14:55:41
354,100353,533,10,0.34,0,,2025-12-08 14:55:41
355,100354,744,8,0.8,0,0,2026-01-17 14:55:41
356,100355,,2,0.63,1,141167,2026-01-02 14:55:41
357,100356,338,0,0.11,0,0,2025-12-20 14:55:41
358,100357,303,8,0.53,2,70054,2025-09-11 14:55:41
359,100358,464,4,0.8,3,153555,2025-08-18 14:55:41
360,100359,675,3,0.05,4,113592,2025-12-04 14:55:41
361,100360,352,10,0.14,3,64257,2025-09-16 14:55:41
362,100361,560,6,0.27,2,215448,2025-12-02 14:55:41
363,100362,822,2,,0,0,2026-01-07 14:55:41
364,100363,744,9,0.03,5,83955,2025-12-07 14:55:41
365,100364,520,0,0.81,1,58699,2025-11-06 14:55:41
366,100365,423,12,0.89,2,102740,2025-12-20 14:55:41
367,100366,586,3,,1,126716,2025-08-08 14:55:41
368,100367,408,10,0.82,5,658050,2025-12-23 14:55:41
369,100368,404,11,0.39,1,"₹108,262",2025-11-04 14:55:41
370,100369,889,10,0.7,4,--,2025-10-31 14:55:41
371,100370,328,5,0.63,1,27746,2026-01-15 14:55:41
372,100371,700,11,0.14,3,89517,2025-07-02 14:55:41
373,100372,604,6,0.64,4,553412,2025-08-26 14:55:41
374,100373,461,7,0.22,5,749245,2025-09-06 14:55:41
375,100374,459,12,0.06,3,142122,2025-07-16 14:55:41
376,100375,,3,0.78,5,464255,2025-07-15 14:55:41
377,100376,517,2,0.72,3,"281,382",2025-07-04 14:55:41
378,100377,365,2,0.63,4,489360,2025-12-22 14:55:41
379,100378,762,10,0.19,5,,2025-12-18 14:55:41
380,100379,569,11,0.42,0,0,2025-12-08 14:55:41
381,100380,858,6,0.97,2,31772,2025-12-20 14:55:41
382,100381,850,3,,2,"260,834",2025-09-21 14:55:41
383,100382,362,7,0.75,4,343924,2025-07-24 14:55:41
384,100383,345,6,0.98,0,0,2025-07-10 14:55:41
385,100384,836,12,0.27,2,234752,2025-10-09 14:55:41
386,100385,647,10,0.59,2,103128,2025-09-18 14:55:41
387,100386,360,1,0.64,5,537810,2025-07-06 14:55:41
388,100387,468,0,0.01,2,,2025-07-09 14:55:41
389,100388,,9,0.53,5,743160,2025-12-31 14:55:41
390,100389,715,8,0.41,2,"153,828",2025-12-10 14:55:41
391,100390,368,0,0.87,3,441705,2025-07-06 14:55:41
392,100391,303,0,,5,--,2025-10-24 14:55:41
393,100392,660,11,0.25,4,"₹126,600",2025-10-24 14:55:41
394,100393,313,1,0.26,1,56765,2025-10-28 14:55:41
395,100394,540,2,0.6,1,70422,2025-08-17 14:55:41
396,100395,631,4,-0.5,3,416529,2025-10-03 14:55:41
397,100396,586,3,1.5,3,,2025-08-08 14:55:41
398,100397,553,7,0.33,3,317346,2025-12-02 14:55:41
399,100398,536,4,0.27,5,354155,2025-09-15 14:55:41
400,100399,311,11,0.6,0,0,2025-10-01 14:55:41
401,100400,391,8,0.32,3,85734,2025-12-04 14:55:41
402,100401,437,11,0.14,1,127649,2025-07-30 14:55:41
403,100402,663,9,,4,"₹236,324",2025-11-10 14:55:41
404,100403,573,7,0.59,5,"253,100",2025-09-18 14:55:41
405,100404,715,2,0.5,0,0,2025-08-11 14:55:41
406,100405,390,9,0.83,2,"₹168,510",2026-01-12 14:55:41
407,100406,338,5,0.89,1,135691,2025-07-31 14:55:41
408,100407,,12,0.02,3,59244,2025-08-26 14:55:41
409,100408,564,12,0.12,2,N/A,2025-08-20 14:55:41
410,100409,601,12,0.18,1,98398,2025-11-02 14:55:41
411,100410,319,2,0.87,5,501595,2026-01-06 14:55:41
412,100411,527,1,0.61,0,0,2025-08-05 14:55:41
413,100412,669,0,0.0,3,"240,789",2025-11-17 14:55:41
414,100413,799,1,,4,229880,2025-09-06 14:55:41
415,100414,825,10,0.69,2,211110,2025-10-13 14:55:41
416,100415,698,1,0.57,0,0,2025-11-19 14:55:41
417,100416,396,12,0.12,0,0,2025-09-05 14:55:41
418,100417,762,1,0.73,2,19582,2025-10-17 14:55:41
419,100418,705,6,0.29,5,94900,2025-08-09 14:55:41
420,100419,845,7,0.46,0,0,2025-09-15 14:55:41
421,100420,633,4,0.59,2,258596,2025-08-26 14:55:41
422,100421,822,6,0.52,1,103015,2025-10-19 14:55:41
423,100422,585,10,0.35,1,12264,2025-11-05 14:55:41
424,100423,546,11,0.75,4,"286,796",2025-07-15 14:55:41
425,100424,442,1,0.49,4,248356,2025-12-17 14:55:41
426,100425,50,8,0.61,4,145668,2025-10-27 14:55:41
427,100426,407,12,0.7,5,61460,2025-09-21 14:55:41
428,100427,,7,0.13,0,0,2025-09-01 14:55:41
429,100428,361,2,0.89,5,410105,2025-08-09 14:55:41
430,100429,423,9,0.58,3,157839,2025-08-23 14:55:41
431,100430,690,0,0.42,5,"75,780",2025-07-12 14:55:41
432,100431,650,7,1.5,1,95868,2025-12-18 14:55:41
433,100432,360,11,0.39,1,114814,2025-12-17 14:55:41
434,100433,666,9,0.31,1,79574,2025-12-22 14:55:41
435,100434,606,6,0.63,5,414895,2026-01-08 14:55:41
436,100435,,2,0.3,2,86318,2025-11-12 14:55:41
437,100436,369,9,0.06,1,49806,2025-12-13 14:55:41
438,100437,,5,0.65,3,"374,730",2025-11-26 14:55:41
439,100438,840,8,,1,56969,2025-09-16 14:55:41
440,100439,381,7,0.94,1,"₹146,038",2025-12-24 14:55:41
441,100440,473,1,0.02,4,514040,2025-11-10 14:55:41
442,100441,512,12,0.37,4,557784,2025-11-16 14:55:41
443,100442,752,11,0.37,5,740250,2025-07-08 14:55:41
444,100443,872,6,0.88,4,597320,2025-08-16 14:55:41
445,100444,420,1,0.48,4,330732,2025-12-25 14:55:41
446,100445,,10,0.77,2,232700,2025-09-22 14:55:41
447,100446,1200,9,0.13,0,0,2025-09-02 14:55:41
