application_id,customer_id,age,gender,employment_type,declared_income,loan_amount,loan_tenure_months,loan_purpose,existing_loans,delinquency_count_6m,delinquency_count_12m,last_delinquency_date,created_at
28,100027,49.0,Male,SALARIED,835179,188579,48,Medical,4.0,2,6,2025-06-24,2025-12-29 14:55:41
29,100028,30.0,F,business,"917,085",327304,36,Medical,3.0,0,4,2025-10-16,2025-08-05 14:55:41
30,100029,25.0,Female,self-employed,"₹394,687",369149,24,Medical,1.0,5,4,2025-03-22,2025-09-14 14:55:41
31,100030,60.0,,SELF_EMP,1082594,154180,48,Home,3.0,6,1,2025-11-03,2025-10-24 14:55:41
32,100031,36.0,,SALARIED,584440,294316,6,Personal,1.0,6,0,2025-07-04,2025-10-27 14:55:41
33,100032,22.0,M,business,283290,588169,24,Medical,0.0,5,0,2025-09-04,2025-12-21 14:55:41
34,100033,52.0,Female,SALARIED,"461,078",713829,60,Medical,4.0,3,6,2025-10-11,2025-09-24 14:55:41
35,100034,35.0,,business,805461,442483,0,Home,0.0,0,1,2025-10-29,2025-07-30 14:55:41
36,100035,28.0,,business,257890,"₹418,727",18,Business,3.0,6,2,2025-08-09,2025-08-11 14:55:41
37,100036,60.0,,,723089,406331,18,Medical,5.0,5,4,2025-08-04,2025-10-30 14:55:41
38,100037,41.0,male,Salaried,254359,744093,60,Personal,1.0,3,4,2025-12-09,2025-08-17 14:55:41
39,100038,,Male,job,,--,24,Medical,4.0,0,,2025-02-10,2025-08-24 14:55:41
40,100039,46.0,Female,,--,532446,12,Car,0.0,4,5,2025-06-21,2025-08-08 14:55:41
41,100040,28.0,F,SELF_EMP,459728,--,12,Education,5.0,6,4,2025-11-17,2025-10-29 14:55:41
42,100041,30.0,Female,self-employed,267801,,36,Home,5.0,4,4,2025-01-23,2025-08-04 14:55:41
43,100042,33.0,Female,Salaried,870241,--,0,Car,4.0,2,6,04/11/2025,2025-10-24 14:55:41
44,100043,25.0,male,self-employed,465355,198298,60,Education,4.0,4,6,2025-12-27,2025-07-26 14:55:41
45,100044,54.0,female,,N/A,N/A,18,Home,2.0,6,,2025-06-23,2025-08-18 14:55:41
46,100045,45.0,F,,,431995,0,Medical,2.0,1,6,2025-04-11,2025-09-27 14:55:41
47,100046,50.0,,STUDENT,489860,,0,Personal,4.0,4,6,2025-08-20,2025-09-28 14:55:41
48,100047,26.0,F,SELF_EMP,"1,020,101",297231,24,Home,2.0,5,0,2025-08-31,2025-07-21 14:55:41
49,100048,51.0,M,Salaried,463565,603408,24,Personal,0.0,6,6,2025-11-03,2025-08-23 14:55:41
50,100049,36.0,Male,,N/A,598913,-12,Medical,4.0,0,5,,2025-12-31 14:55:41
51,100050,43.0,female,,"₹847,342",404992,0,Business,3.0,0,0,2025-01-24,2025-10-29 14:55:41
52,100051,40.0,,,550772,100126,12,Personal,3.0,3,5,2025-09-24,2025-10-01 14:55:41
53,100052,26.0,,self-employed,317916,517576,0,Personal,3.0,2,5,31/01/2025,2025-10-16 14:55:41
54,100053,53.0,female,Salaried,,726502,6,Medical,1.0,2,1,2025-07-24,2025-12-19 14:55:41
55,100054,22.0,Female,STUDENT,695867,691599,0,Education,0.0,1,0,2025-06-14,2025-08-30 14:55:41
56,100055,55.0,Male,job,"₹620,268",195622,48,Medical,4.0,4,0,2025-09-04,2025-08-23 14:55:41
57,100056,25.0,Male,Student,"₹872,499",628083,18,Car,4.0,0,1,2025-12-31,2025-09-07 14:55:41
58,100057,39.0,Male,STUDENT,785069,--,18,Education,5.0,2,6,2025-13-40,2025-08-23 14:55:41
59,100058,37.0,,,1194461,723088,60,Personal,3.0,3,2,2025-06-11,2025-10-21 14:55:41
60,100059,46.0,Male,SALARIED,"₹1,128,263","197,720",60,Medical,3.0,1,5,2025-03-24,2025-09-12 14:55:41
61,100060,40.0,M,STUDENT,654844,102995,0,Personal,,1,6,2025-01-25,2025-11-29 14:55:41
62,100061,44.0,M,Student,736616,"₹690,725",60,Personal,2.0,1,,2025-01-21,2025-09-18 14:55:41
63,100062,54.0,male,job,--,363769,-12,Medical,3.0,,0,2025-10-27,2025-07-25 14:55:41
64,100063,22.0,Male,,257699,709580,60,Education,5.0,5,two,2025-08-01,2025-07-03 14:55:41
65,100064,60.0,,Salaried,584827,551608,18,Car,4.0,6,6,2025-11-10,2025-11-07 14:55:41
66,100065,56.0,Male,Self Employed,1175513,336741,-12,Car,3.0,6,,2025-08-16,2025-11-24 14:55:41
67,100066,33.0,Male,self-employed,651810,606837,12,Car,2.0,6,1,2025-09-02,2025-11-05 14:55:41
68,100067,41.0,M,SALARIED,637001,89110,18,Home,3.0,5,,2025-10-19,2025-10-24 14:55:41
69,100068,39.0,female,Student,431437,252177,0,Business,2.0,two,6,2025-11-10,2025-09-30 14:55:41
70,100069,53.0,Female,job,1151293,323453,36,Personal,2.0,2,0,2025-08-28,2025-09-11 14:55:41
71,100070,40.0,female,self-employed,613154,210626,48,Car,5.0,4,6,2025-11-03,2025-09-25 14:55:41
72,100071,54.0,M,SALARIED,573953,394056,24,Business,4.0,3,4,17/10/2025,2025-10-31 14:55:41
73,100072,22.0,,Self Employed,244979,617451,12,Car,0.0,1,5,2025-07-12,2025-10-13 14:55:41
74,100073,45.0,female,job,"₹879,326",462151,24,Home,0.0,5,6,2025-08-25,2025-07-16 14:55:41
75,100074,28.0,female,Salaried,,676822,24,Business,0.0,1,1,2025-05-30,2025-08-23 14:55:41
76,100075,41.0,,SELF_EMP,450438,483649,18,Business,5.0,2,6,2025-12-24,2025-10-13 14:55:41
77,100076,32.0,Female,Self Employed,452727,639704,-12,Education,3.0,5,2,09/04/2025,2025-08-16 14:55:41
78,100077,59.0,M,,605116,399138,24,Education,5.0,3,5,2025-05-04,2025-10-12 14:55:41
79,100078,50.0,Male,SELF_EMP,1192866,542296,24,Personal,2.0,1,,2025-10-25,2025-11-28 14:55:41
80,100079,42.0,male,Student,857923,722865,48,Education,1.0,4,,2025-02-09,2025-07-06 14:55:41
81,100080,21.0,,SALARIED,169171,113386,0,Business,,,2,2025-13-40,2025-07-29 14:55:41
82,100081,48.0,F,SALARIED,N/A,421658,48,Car,3.0,1,0,2025-11-30,2025-10-12 14:55:41
83,100082,45.0,M,job,1059974,149994,24,Education,5.0,0,2,2025-10-17,2025-10-29 14:55:41
84,100083,22.0,male,business,--,458060,60,Business,1.0,0,0,2025-04-30,2025-07-05 14:55:41
85,100084,60.0,Female,,723208,289220,60,Education,5.0,6,5,2025-05-19,2025-08-08 14:55:41
86,100085,30.0,Male,,796483,"₹157,197",0,Medical,4.0,0,4,2025-13-40,2025-07-02 14:55:41
87,100086,26.0,male,Self Employed,505641,331981,12,Education,3.0,6,1,2025-09-12,2025-12-21 14:55:41
88,100087,29.0,Female,,841099,732661,48,Medical,5.0,3,5,2025-10-23,2025-11-07 14:55:41
89,100088,46.0,male,STUDENT,206447,792776,12,Car,5.0,1,3,2025-02-08,2025-08-21 14:55:41
90,100089,46.0,,,903987,672665,24,Business,5.0,0,5,2025-06-20,2026-01-15 14:55:41
91,100090,27.0,male,STUDENT,613537,762565,48,Home,3.0,0,1,2025-06-26,2025-09-16 14:55:41
92,100091,43.0,Female,Student,"779,699",73682,18,Business,1.0,2,1,2025-11-20,2025-09-29 14:55:41
93,100092,,male,Student,"965,447",341865,12,Medical,0.0,2,2,2025-09-09,2025-08-18 14:55:41
94,100093,45.0,male,SELF_EMP,511816,361893,18,Personal,0.0,2,3,2025-10-23,2025-08-08 14:55:41
95,100094,55.0,female,job,1176853,522908,6,Car,1.0,4,5,2025-12-31,2025-12-27 14:55:41
96,100095,57.0,,Salaried,--,569373,12,Personal,4.0,6,3,2025-08-07,2025-07-09 14:55:41
97,100096,36.0,M,SELF_EMP,332416,298455,48,Business,4.0,1,6,2025-06-30,2025-12-05 14:55:41
98,100097,41.0,Male,self-employed,"₹349,701",481589,18,Business,1.0,6,3,2025-10-24,2025-10-13 14:55:41
99,100098,49.0,,SALARIED,733481,526782,6,Business,0.0,5,6,2025-04-23,2025-09-13 14:55:41
100,100099,38.0,Male,,1167827,"100,760",0,Home,0.0,,1,2025-03-10,2025-11-08 14:55:41
101,100100,26.0,Male,,790699,500081,6,Education,3.0,4,,2025-03-04,2025-12-15 14:55:41
102,100101,51.0,Female,SALARIED,920832,189613,12,Medical,,3,5,2025-07-31,2025-11-23 14:55:41
103,100102,26.0,F,,887223,196622,24,Medical,4.0,6,,2025-04-17,2025-07-10 14:55:41
104,100103,46.0,M,Self Employed,386440,124461,48,Personal,1.0,3,6,2025-13-40,2025-11-11 14:55:41
105,100104,34.0,M,business,1021224,721652,36,Home,2.0,6,4,2025-11-30,2025-07-23 14:55:41
106,100105,48.0,,Self Employed,"₹1,061,178",107701,18,Home,0.0,1,4,2025-05-14,2025-07-02 14:55:41
107,100106,38.0,M,Salaried,,796925,0,Car,4.0,4,6,2025-10-22,2025-07-12 14:55:41
108,100107,,,,913314,87081,60,Education,2.0,2,2,2025-12-12,2025-09-07 14:55:41
109,100108,23.0,M,self-employed,801580,58356,36,Business,4.0,3,5,2025-05-07,2026-01-11 14:55:41
110,100109,35.0,female,Salaried,153066,"₹372,448",24,Car,3.0,1,1,2025-09-25,2025-09-22 14:55:41
111,100110,26.0,male,business,280616,298273,60,Business,5.0,1,6,2025-02-26,2025-09-20 14:55:41
112,100111,41.0,male,Self Employed,1121708,215271,6,Education,2.0,2,two,2025-13-40,2025-09-24 14:55:41
113,100112,56.0,F,SALARIED,,"₹283,086",48,Business,5.0,4,0,2025-04-13,2025-12-16 14:55:41
114,100113,26.0,,,"1,116,776",504197,6,Car,5.0,1,,2025-11-15,2025-09-12 14:55:41
115,100114,47.0,Female,self-employed,N/A,601356,-12,Home,3.0,4,4,,2025-08-18 14:55:41
116,100115,,,Salaried,1139193,294068,24,Personal,4.0,0,4,2025-07-19,2025-12-04 14:55:41
117,100116,32.0,Male,SELF_EMP,209153,645225,24,Car,4.0,0,0,2025-01-02,2025-12-15 14:55:41
118,100117,42.0,,,459774,166308,12,Personal,5.0,0,1,2025-08-13,2025-08-04 14:55:41
119,100118,41.0,male,,618162,446764,18,Education,,4,,2025-11-06,2025-08-14 14:55:41
120,100119,35.0,M,job,313172,226042,48,Car,0.0,0,,2025-07-18,2025-12-06 14:55:41
121,100120,47.0,Female,business,1155561,770539,6,Personal,0.0,0,1,2025-10-09,2025-10-23 14:55:41
122,100121,59.0,Female,business,496024,"₹106,157",24,Car,5.0,4,1,2025-07-22,2025-12-09 14:55:41
123,100122,24.0,Female,,"353,396",355986,12,Personal,3.0,2,1,2025-07-16,2025-11-11 14:55:41
124,100123,49.0,F,,"352,800",617750,24,Medical,0.0,3,3,2025-05-02,2025-07-19 14:55:41
125,100124,23.0,male,,--,272182,60,Home,5.0,5,2,05/02/2025,2025-08-29 14:55:41
126,100125,41.0,male,Salaried,"₹1,029,952",644116,12,Home,4.0,6,3,2025-12-03,2026-01-08 14:55:41
127,100126,32.0,F,,,548302,6,Personal,2.0,6,6,2025-06-04,2025-10-27 14:55:41
128,100127,38.0,male,Self Employed,1003898,442073,18,Home,2.0,6,0,2025-04-14,2025-09-23 14:55:41
129,100128,24.0,female,SELF_EMP,982448,82047,0,Education,3.0,1,6,,2025-08-24 14:55:41
130,100129,34.0,female,Self Employed,1008798,"765,338",18,Medical,0.0,2,2,2025-07-13,2025-11-23 14:55:41
131,100130,50.0,male,business,165408,442408,36,Personal,5.0,2,2,2025-12-01,2025-07-06 14:55:41
132,100131,36.0,,,820219,737237,60,Car,3.0,4,5,2025-10-02,2025-07-30 14:55:41
133,100132,43.0,,STUDENT,354688,636187,48,Business,0.0,6,2,2025-10-28,2025-09-19 14:55:41
134,100133,24.0,male,,557987,450209,18,Education,1.0,3,1,2025-09-08,2025-10-29 14:55:41
135,100134,,Male,job,482262,"₹142,318",60,Car,3.0,0,0,2025-09-30,2025-08-10 14:55:41
136,100135,36.0,Male,SALARIED,--,362687,-12,Medical,4.0,1,2,2025-03-27,2025-10-06 14:55:41
137,100136,22.0,female,Self Employed,"₹504,386",89178,-12,Medical,0.0,NA,,2025-08-17,2025-09-18 14:55:41
138,100137,30.0,female,self-employed,361770,685053,12,Medical,5.0,6,1,2025-09-26,2025-10-05 14:55:41
139,100138,39.0,male,Self Employed,,"754,258",0,Education,0.0,5,1,2025-06-02,2025-12-04 14:55:41
140,100139,23.0,Male,SELF_EMP,"393,062","98,118",18,Personal,2.0,2,6,2025-03-01,2025-11-09 14:55:41
141,100140,45.0,Female,job,272990,158751,0,Education,4.0,0,5,2025-03-09,2025-10-04 14:55:41
142,100141,49.0,Male,Salaried,619730,404733,12,Car,5.0,5,6,11/11/2025,2025-12-08 14:55:41
143,100142,53.0,,job,1181060,"341,668",60,Car,1.0,4,3,,2025-10-06 14:55:41
144,100143,47.0,,SALARIED,788788,736393,48,Home,1.0,6,5,2025-08-21,2025-11-22 14:55:41
145,100144,21.0,,self-employed,,222129,60,Home,2.0,6,6,2025-06-24,2025-08-08 14:55:41
146,100145,58.0,Female,,,100931,0,Medical,1.0,6,4,2025-06-15,2025-08-15 14:55:41
147,100146,36.0,Male,Student,439784,587179,48,Business,5.0,1,5,2025-12-12,2025-12-03 14:55:41
148,100147,53.0,female,SALARIED,1157408,794618,-12,Personal,3.0,0,0,2025-03-25,2025-12-11 14:55:41
149,100148,24.0,Male,,"₹1,099,159",639179,-12,Car,1.0,5,3,2025-12-18,2026-01-14 14:55:41
150,100149,37.0,,Student,921209,N/A,24,Personal,3.0,1,0,2025-08-09,2025-12-07 14:55:41
151,100150,58.0,M,,826604,705744,0,Medical,4.0,2,4,2025-09-17,2025-10-06 14:55:41
152,100151,26.0,F,SELF_EMP,608112,547923,6,Home,5.0,5,0,2025-06-15,2025-12-19 14:55:41
153,100152,45.0,female,STUDENT,936344,"560,451",24,Personal,4.0,6,NA,2025-11-20,2025-10-01 14:55:41
154,100153,27.0,,business,301247,,12,Home,1.0,4,3,2025-11-20,2025-10-10 14:55:41
155,100154,28.0,female,SALARIED,245455,"₹577,262",36,Medical,0.0,3,3,2025-04-24,2025-08-31 14:55:41
156,100155,39.0,F,SELF_EMP,173383,"179,221",60,Medical,4.0,5,1,2025-11-28,2025-12-01 14:55:41
157,100156,35.0,Male,job,264060,625512,36,Business,0.0,4,1,2025-05-02,2025-11-29 14:55:41
158,100157,41.0,Male,self-employed,469595,381699,48,Education,1.0,2,5,2025-09-04,2025-10-31 14:55:41
159,100158,52.0,F,SALARIED,443604,"707,057",6,Medical,5.0,3,0,2025-10-07,2025-08-03 14:55:41
160,100159,30.0,F,,"₹760,269",144952,24,Medical,5.0,3,4,2025-03-17,2025-10-18 14:55:41
161,100160,23.0,Female,self-employed,239775,428799,6,Home,5.0,4,5,2025-10-07,2025-10-13 14:55:41
162,100161,44.0,,self-employed,617453,411792,6,Medical,1.0,4,1,2025-11-06,2025-11-20 14:55:41
163,100162,47.0,female,Student,488157,"305,506",18,Education,5.0,1,1,2025-07-28,2026-01-13 14:55:41
164,100163,39.0,F,Student,507704,199644,18,Medical,5.0,5,4,2025-07-14,2025-11-27 14:55:41
165,100164,54.0,male,job,522081,90932,12,Home,3.0,4,6,2025-08-10,2026-01-06 14:55:41
166,100165,54.0,,business,354927,293807,-12,Car,2.0,,,2025-12-03,2025-10-05 14:55:41
167,100166,44.0,Female,self-employed,1038272,763666,-12,Medical,3.0,3,2,2025-07-24,2025-08-02 14:55:41
168,100167,28.0,Female,job,990037,693852,18,Car,,1,0,2025-04-25,2025-07-16 14:55:41
169,100168,45.0,Female,STUDENT,270508,,-12,Personal,1.0,4,,2025-05-04,2025-12-26 14:55:41
170,100169,38.0,Male,business,,144545,-12,Medical,2.0,1,3,2025-05-15,2025-08-27 14:55:41
171,100170,25.0,Male,STUDENT,674584,640525,48,Car,5.0,0,3,2025-04-24,2025-10-29 14:55:41
172,100171,47.0,male,self-employed,345054,"408,605",0,Personal,2.0,1,1,2025-04-14,2025-11-11 14:55:41
173,100172,34.0,,,"₹373,743",,-12,Home,3.0,4,6,2025-05-25,2025-12-16 14:55:41
174,100173,24.0,Female,,878317,233291,-12,Car,2.0,NA,2,2025-05-14,2025-11-10 14:55:41
175,100174,51.0,Male,Student,1028901,470051,18,Medical,5.0,2,6,2025-03-17,2025-09-18 14:55:41
176,100175,21.0,Female,STUDENT,812128,,12,Business,1.0,3,5,2025-07-05,2025-11-13 14:55:41
177,100176,,M,,516034,390881,0,Home,3.0,1,2,2025-11-11,2025-12-30 14:55:41
178,100177,26.0,F,self-employed,979329,430805,0,Car,1.0,,5,2025-02-11,2025-12-24 14:55:41
179,100178,25.0,Female,Salaried,"₹324,590",138406,36,Education,1.0,1,,2025-07-03,2025-09-18 14:55:41
180,100179,50.0,male,STUDENT,521272,716738,-12,Personal,2.0,0,2,2025-13-40,2025-12-14 14:55:41
181,100180,43.0,,Student,1150482,357151,-12,Personal,1.0,3,5,2025-07-14,2025-08-10 14:55:41
182,100181,36.0,,self-employed,713760,"₹241,267",0,Medical,3.0,1,,2025-02-23,2025-09-27 14:55:41
183,100182,21.0,,Self Employed,803423,439438,48,Home,1.0,0,6,2025-07-16,2025-07-05 14:55:41
184,100183,36.0,Female,Salaried,347049,545793,48,Education,5.0,4,5,2025-07-05,2025-11-23 14:55:41
185,100184,28.0,Female,job,400923,94033,18,Personal,0.0,5,6,2025-02-01,2025-09-02 14:55:41
186,100185,27.0,F,STUDENT,878378,"252,338",18,Personal,0.0,2,4,2025-06-29,2025-08-17 14:55:41
187,100186,56.0,male,self-employed,919891,580535,6,Medical,2.0,5,6,2025-09-27,2025-12-09 14:55:41
188,100187,60.0,Female,SALARIED,"289,837",237316,0,Education,0.0,3,5,2025-01-27,2025-12-30 14:55:41
189,100188,21.0,F,SALARIED,277297,486158,6,Medical,2.0,6,4,2025-04-30,2025-09-05 14:55:41
190,100189,36.0,F,STUDENT,371279,757256,12,Education,1.0,5,3,2025-06-12,2025-10-14 14:55:41
191,100190,47.0,Female,SELF_EMP,598639,316431,60,Home,5.0,0,,2025-04-25,2025-07-04 14:55:41
192,100191,38.0,male,,229138,327860,24,Personal,2.0,1,6,2025-09-08,2025-08-23 14:55:41
193,100192,27.0,,,267278,505401,24,Business,5.0,5,2,2025-06-14,2025-09-11 14:55:41
194,100193,35.0,female,business,338917,"₹463,477",0,Medical,5.0,0,5,2025-03-12,2025-10-08 14:55:41
195,100194,57.0,male,STUDENT,300248,767999,60,Car,2.0,4,1,2025-11-13,2025-08-11 14:55:41
196,100195,30.0,,SELF_EMP,,701168,36,Home,2.0,3,5,2025-04-16,2025-08-30 14:55:41
197,100196,51.0,F,Salaried,,260445,6,Car,5.0,5,5,2025-13-40,2025-08-04 14:55:41
198,100197,45.0,Female,SALARIED,1166410,N/A,-12,Business,0.0,2,,2025-12-18,2025-11-18 14:55:41
199,100198,53.0,M,business,211794,--,18,Home,5.0,4,3,2025-03-21,2025-08-16 14:55:41
200,100199,42.0,F,job,574275,789389,60,Education,5.0,2,5,2025-06-13,2026-01-10 14:55:41
201,100200,41.0,Female,self-employed,--,N/A,36,Medical,4.0,1,5,2025-03-11,2025-07-19 14:55:41
202,100201,44.0,Female,job,"624,529",65743,24,Business,5.0,0,3,2025-09-09,2025-11-15 14:55:41
203,100202,48.0,M,business,976593,672650,6,Medical,0.0,0,4,2025-01-22,2025-08-09 14:55:41
204,100203,24.0,Female,self-employed,749606,692917,18,Car,5.0,0,5,2025-07-22,2025-12-03 14:55:41
205,100204,50.0,female,Student,829634,221960,12,Business,3.0,5,4,2025-03-24,2025-07-05 14:55:41
206,100205,31.0,male,job,--,489963,0,Personal,5.0,,0,,2025-09-13 14:55:41
207,100206,36.0,female,business,163784,699871,24,Home,1.0,0,,2025-06-03,2025-12-21 14:55:41
208,100207,47.0,F,,522075,427685,36,Personal,2.0,6,2,2025-03-05,2025-09-05 14:55:41
209,100208,47.0,female,Salaried,333856,791139,48,Personal,4.0,1,5,2025-09-11,2025-11-19 14:55:41
210,100209,39.0,M,Student,397308,695197,48,Personal,4.0,5,6,2025-06-04,2026-01-16 14:55:41
211,100210,28.0,Male,,211063,404352,0,Home,5.0,3,2,2025-08-01,2025-09-06 14:55:41
212,100211,40.0,female,,845665,"420,771",6,Personal,3.0,4,0,2025-06-08,2026-01-09 14:55:41
213,100212,38.0,Female,SELF_EMP,784658,,24,Home,3.0,4,3,2025-09-27,2025-07-05 14:55:41
214,100213,27.0,male,job,226656,"₹597,718",6,Business,4.0,0,5,2025-10-24,2025-11-25 14:55:41
215,100214,41.0,Male,SELF_EMP,396731,"170,020",-12,Home,1.0,2,2,30/03/2025,2025-10-23 14:55:41
216,100215,55.0,,Salaried,"262,826",788908,0,Medical,2.0,5,0,2025-08-28,2025-07-23 14:55:41
217,100216,50.0,Male,Student,"₹619,330",320587,48,Personal,3.0,0,1,2025-06-29,2025-12-22 14:55:41
218,100217,46.0,,STUDENT,783587,483525,18,Car,3.0,5,3,2025-06-26,2025-08-01 14:55:41
219,100218,25.0,female,Student,1120789,--,12,Medical,0.0,6,5,2025-04-23,2025-07-08 14:55:41
220,100219,21.0,female,STUDENT,N/A,381976,36,Car,5.0,0,4,2025-03-08,2025-08-30 14:55:41
221,100220,,male,SELF_EMP,741835,786333,60,Car,3.0,1,3,2025-07-05,2025-07-30 14:55:41
222,100221,29.0,M,job,1170686,"192,371",60,Car,5.0,1,6,2025-07-02,2026-01-16 14:55:41
223,100222,57.0,female,STUDENT,,556743,0,Business,0.0,6,3,2025-09-26,2025-09-19 14:55:41
224,100223,25.0,male,self-employed,,526089,48,Car,2.0,2,4,2025-10-17,2025-08-22 14:55:41
225,100224,31.0,female,,"1,166,615",341345,36,Personal,0.0,4,2,2025-05-15,2025-12-02 14:55:41
226,100225,54.0,Male,job,473276,483007,0,Business,5.0,6,6,2025-01-28,2025-11-01 14:55:41
227,100226,51.0,,Self Employed,968037,"505,851",0,Car,5.0,0,2,2025-08-11,2025-11-09 14:55:41
228,100227,42.0,,,657084,254394,18,Personal,,,0,2025-06-30,2025-11-29 14:55:41
229,100228,,M,,604714,792470,18,Car,5.0,6,5,2025-06-01,2025-08-07 14:55:41
230,100229,50.0,Male,SELF_EMP,,457466,36,Education,3.0,1,3,2025-10-05,2025-08-06 14:55:41
231,100230,27.0,female,Salaried,,"₹571,877",6,Business,3.0,3,6,2025-08-13,2025-12-31 14:55:41
232,100231,55.0,Female,Student,902706,107875,12,Personal,4.0,6,5,2025-13-40,2025-11-30 14:55:41
233,100232,40.0,M,SELF_EMP,1068518,"252,472",24,Car,3.0,2,6,2025-13-40,2025-07-17 14:55:41
234,100233,23.0,F,STUDENT,462378,"125,532",6,Car,4.0,,2,2025-02-20,2025-08-19 14:55:41
235,100234,25.0,M,,"612,574",403729,60,Personal,0.0,1,1,2025-11-01,2025-11-08 14:55:41
236,100235,30.0,F,STUDENT,,154823,60,Education,0.0,0,5,2025-05-27,2025-07-04 14:55:41
237,100236,51.0,F,self-employed,1014092,"775,272",0,Medical,0.0,2,1,2025-09-30,2025-07-07 14:55:41
238,100237,55.0,Female,Self Employed,"₹556,258",547457,6,Home,5.0,2,6,2025-02-24,2025-12-03 14:55:41
239,100238,31.0,Female,SALARIED,1082857,258405,24,Home,2.0,3,1,2025-10-28,2025-12-11 14:55:41
240,100239,34.0,Female,SELF_EMP,557172,,6,Personal,1.0,3,2,2025-11-24,2025-08-23 14:55:41
241,100240,56.0,M,STUDENT,603913,"342,731",24,Education,2.0,4,0,2025-13-40,2025-07-05 14:55:41
242,100241,53.0,male,SALARIED,"654,389",776830,18,Personal,2.0,0,5,,2025-09-23 14:55:41
243,100242,50.0,,job,926828,51429,48,Medical,0.0,5,6,18/12/2025,2025-07-13 14:55:41
244,100243,24.0,female,Salaried,,--,12,Medical,5.0,2,3,2025-10-26,2025-07-09 14:55:41
245,100244,35.0,Male,business,282894,575808,-12,Business,4.0,2,6,2025-02-04,2025-12-26 14:55:41
246,100245,26.0,F,SALARIED,"₹728,693",207808,6,Personal,3.0,1,5,,2025-11-19 14:55:41
247,100246,54.0,Female,SELF_EMP,1083770,--,0,Personal,2.0,two,4,2026-01-01,2025-12-04 14:55:41
248,100247,30.0,,SELF_EMP,1074610,639810,48,Education,2.0,4,3,2025-03-17,2025-12-09 14:55:41
249,100248,21.0,male,SELF_EMP,769827,651596,0,Personal,5.0,0,,2025-11-14,2025-12-25 14:55:41
250,100249,41.0,female,STUDENT,N/A,517096,-12,Car,1.0,4,2,2025-08-08,2025-11-06 14:55:41
251,100250,43.0,Female,SALARIED,1081597,513999,60,Business,3.0,0,6,22/06/2025,2025-07-08 14:55:41
