transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,account_balance,created_at
42,100003,2025-09-25,debit,17378,48848,2025-12-17 14:55:41
43,100003,2025-11-10,debit,5235,43613,2026-01-07 14:55:41
44,100004,2025-11-18,debit,14156,0,2025-11-21 14:55:41
45,100004,2025-02-16,,19969,0,2025-07-22 14:55:41
46,100004,2025-08-05,credit,3646,0,2025-09-09 14:55:41
47,100004,2025-12-09,debit,"₹11,887",0,2025-08-19 14:55:41
48,100004,2025-13-40,credit,16186,2183,2025-10-12 14:55:41
49,100004,2025-02-26,,"₹3,430",2183,2025-08-16 14:55:41
50,100004,2025-07-22,,1506,2183,2025-10-07 14:55:41
51,100004,2025-11-19,,"14,349","2,183",2025-12-23 14:55:41
52,100004,2025-08-01,credit,15162,17345,2025-11-15 14:55:41
53,100004,2025-01-26,debit,15214,--,2025-08-30 14:55:41
54,100004,2025-07-26,debit,5837,0,2025-11-20 14:55:41
55,100004,2025-06-07,credit,3163,N/A,2025-11-11 14:55:41
56,100004,2025-09-07,debit,11242,0,2025-12-20 14:55:41
57,100005,26/12/2025,,18565,34169,2025-12-25 14:55:41
58,100005,2025-11-04,,"₹13,459",34169,2025-10-11 14:55:41
59,100005,2025-06-01,,18881,34169,2025-12-09 14:55:41
60,100005,2025-05-22,credit,16403,50572,2025-11-23 14:55:41
61,100005,2025-06-02,credit,880,51452,2025-11-29 14:55:41
62,100005,2025-09-24,,13294,51452,2025-10-16 14:55:41
63,100005,2025-05-16,debit,12331,39121,2025-07-24 14:55:41
64,100005,2025-12-27,credit,"17,838",56959,2025-09-02 14:55:41
65,100005,2025-11-07,credit,11614,68573,2025-08-23 14:55:41
66,100005,2025-08-25,,14548,--,2025-08-27 14:55:41
67,100005,2025-13-40,debit,5045,63528,2025-07-15 14:55:41
68,100005,2025-11-04,debit,14317,49211,2025-09-02 14:55:41
69,100005,2025-06-06,debit,7820,"₹41,391",2025-07-27 14:55:41
70,100005,2025-01-05,,1935,41391,2025-09-04 14:55:41
71,100006,2025-04-11,credit,19910,"68,918",2025-07-15 14:55:41
72,100006,2025-02-16,credit,13423,82341,2025-12-13 14:55:41
73,100006,2025-04-05,credit,10397,92738,2025-10-07 14:55:41
74,100006,30/06/2025,,2872,"92,738",2025-08-28 14:55:41
75,100006,2025-07-12,credit,,235763,2025-08-25 14:55:41
76,100006,2025-02-06,credit,6376,242139,2025-07-27 14:55:41
77,100006,2025-13-40,debit,19008,223131,2025-09-26 14:55:41
78,100006,2025-01-21,,4141,223131,2025-09-07 14:55:41
79,100006,2025-02-22,debit,6529,216602,2025-08-30 14:55:41
80,100006,2025-13-40,credit,18368,234970,2025-10-06 14:55:41
81,100007,2025-12-05,,19570,32485,2025-08-23 14:55:41
82,100007,2025-09-26,debit,18103,14382,2025-08-10 14:55:41
83,100007,2025-08-12,debit,2899,11483,2025-09-12 14:55:41
84,100007,2025-05-29,,"2,006",11483,2025-08-24 14:55:41
85,100007,2025-11-26,debit,"1,771",N/A,2026-01-04 14:55:41
86,100007,2025-12-18,debit,--,0,2025-12-23 14:55:41
87,100008,2026-01-01,debit,2590,12930,2025-10-12 14:55:41
88,100008,2025-12-20,credit,242925,255855,2025-10-10 14:55:41
89,100008,2025-07-11,debit,1666,254189,2025-07-27 14:55:41
90,100008,2025-11-18,debit,6913,,2025-10-04 14:55:41
91,100008,2025-04-09,debit,8504,238772,2025-08-01 14:55:41
92,100008,2025-02-07,,3948,N/A,2025-07-12 14:55:41
93,100008,2025-12-16,,13248,238772,2025-10-08 14:55:41
94,100008,2025-04-15,credit,18378,"257,150",2025-12-20 14:55:41
95,100008,2025-07-19,credit,2939,260089,2025-12-12 14:55:41
96,100008,2025-01-23,,N/A,260089,2025-12-09 14:55:41
97,100009,2025-06-30,debit,"6,774",5729,2025-11-21 14:55:41
98,100009,2025-04-11,debit,14580,0,2025-12-07 14:55:41
99,100009,2025-06-13,credit,3849,0,2025-10-27 14:55:41
100,100009,2025-03-16,credit,"196,400",191398,2025-11-21 14:55:41
101,100009,2025-01-20,,18077,191398,2025-11-06 14:55:41
102,100009,2025-07-19,debit,7987,183411,2025-12-09 14:55:41
103,100009,2025-07-05,credit,4931,188342,2025-12-07 14:55:41
104,100009,2025-01-12,debit,10025,178317,2025-10-07 14:55:41
105,100009,2025-11-18,debit,7019,171298,2025-10-10 14:55:41
106,100009,2025-06-23,debit,13270,158028,2025-07-15 14:55:41
107,100009,2025-11-14,debit,15383,142645,2025-12-12 14:55:41
108,100009,2025-10-06,,15021,142645,2025-11-23 14:55:41
109,100009,2025-03-23,,12792,"142,645",2025-08-25 14:55:41
110,100010,2025-12-16,,5307,--,2025-11-16 14:55:41
111,100010,2025-03-09,debit,10561,39327,2025-12-24 14:55:41
112,100010,2025-02-14,credit,484,"39,811",2025-10-18 14:55:41
113,100010,2025-03-20,credit,10278,50089,2025-09-18 14:55:41
114,100010,2025-04-01,debit,10136,--,2025-09-03 14:55:41
115,100010,2025-07-30,credit,18604,58557,2025-12-19 14:55:41
116,100010,2025-03-18,debit,"₹3,380",55177,2026-01-12 14:55:41
117,100010,2025-07-06,debit,,35812,2025-10-21 14:55:41
118,100010,2025-02-14,debit,2457,33355,2025-07-30 14:55:41
119,100010,2025-11-22,debit,9779,23576,2026-01-13 14:55:41
120,100010,2025-10-31,debit,5739,17837,2026-01-11 14:55:41
121,100010,2025-03-28,credit,8025,25862,2025-07-07 14:55:41
122,100010,2025-12-05,credit,"₹11,109",36971,2026-01-13 14:55:41
123,100011,2025-07-15,debit,1379,30430,2025-10-01 14:55:41
124,100011,26/06/2025,credit,11545,41975,2025-07-30 14:55:41
125,100011,2025-12-09,debit,"16,872",25103,2025-12-03 14:55:41
126,100011,21/03/2025,,,"25,103",2025-08-12 14:55:41
127,100011,2025-10-27,,15298,25103,2025-12-13 14:55:41
128,100011,12/02/2025,credit,"3,204",28307,2025-07-18 14:55:41
129,100011,2025-06-15,,17545,28307,2025-09-19 14:55:41
130,100011,2025-12-14,,2207,28307,2025-09-01 14:55:41
131,100011,2025-04-08,,"4,263",28307,2025-12-07 14:55:41
132,100011,2025-11-01,debit,19911,8396,2025-11-17 14:55:41
133,100011,2025-12-03,,--,8396,2026-01-02 14:55:41
134,100012,2025-12-13,,14812,6239,2025-10-17 14:55:41
135,100012,2025-11-08,,2358,6239,2025-10-15 14:55:41
136,100012,2025-09-09,debit,N/A,0,2025-09-20 14:55:41
137,100012,2025-06-17,debit,15392,0,2026-01-11 14:55:41
138,100012,2025-06-13,debit,"5,095",0,2025-08-19 14:55:41
139,100012,2025-04-23,credit,₹737,0,2025-11-01 14:55:41
140,100012,2025-10-10,debit,7662,0,2025-09-15 14:55:41
141,100012,2025-02-01,debit,3673,0,2025-09-13 14:55:41
142,100012,2025-08-03,debit,624,0,2025-08-14 14:55:41
143,100012,09/03/2025,,9437,₹0,2025-09-18 14:55:41
144,100012,2025-08-18,debit,13864,0,2025-08-08 14:55:41
145,100012,2025-09-02,debit,18386,0,2025-08-09 14:55:41
146,100012,2025-04-29,,19626,0,2025-10-29 14:55:41
147,100012,2025-02-19,debit,"5,061",0,2025-07-15 14:55:41
148,100012,2025-08-20,debit,6530,0,2025-11-15 14:55:41
149,100012,2025-01-03,debit,11870,0,2025-10-29 14:55:41
150,100012,2025-10-03,credit,6366,0,2025-11-29 14:55:41
151,100012,2025-09-17,debit,8333,0,2025-12-12 14:55:41
152,100013,2025-11-27,debit,2779,40926,2025-12-08 14:55:41
153,100013,2025-06-11,credit,N/A,50089,2025-10-27 14:55:41
154,100013,2025-03-06,credit,10899,60988,2025-08-10 14:55:41
155,100013,2025-13-40,debit,6032,54956,2025-08-25 14:55:41
156,100013,2025-09-20,credit,4521,"₹59,477",2025-07-19 14:55:41
157,100014,2025-06-24,credit,"13,721","38,122",2025-10-08 14:55:41
158,100014,2025-10-09,credit,"₹6,991",45113,2025-08-05 14:55:41
159,100014,2025-01-14,credit,"7,589",52702,2025-12-13 14:55:41
160,100014,16/06/2025,debit,13169,39533,2025-08-30 14:55:41
161,100014,2025-04-14,,,39533,2025-10-15 14:55:41
162,100014,2025-03-27,debit,"7,172",32361,2025-10-14 14:55:41
163,100014,2025-03-24,credit,8597,"₹40,958",2026-01-10 14:55:41
164,100014,2025-12-01,,16970,40958,2025-11-26 14:55:41
165,100014,2025-10-20,,9984,40958,2026-01-04 14:55:41
166,100014,2025-04-29,,,40958,2025-11-26 14:55:41
167,100014,2025-07-19,,10926,40958,2025-08-18 14:55:41
168,100014,2025-12-09,credit,2745,43703,2025-11-08 14:55:41
169,100014,2025-06-06,debit,12698,31005,2025-10-01 14:55:41
170,100014,2025-07-11,credit,"9,374",40379,2025-11-11 14:55:41
171,100014,2025-04-16,credit,1195,"₹41,574",2025-09-23 14:55:41
172,100014,25/10/2025,,"18,466","41,574",2025-11-23 14:55:41
173,100015,2025-01-21,debit,14371,0,2026-01-01 14:55:41
174,100015,2025-05-25,,9426,0,2025-11-30 14:55:41
175,100015,2025-08-19,credit,1645,0,2025-11-19 14:55:41
176,100015,2025-01-26,debit,12128,0,2025-10-14 14:55:41
177,100015,2025-10-05,credit,10709,0,2025-10-21 14:55:41
178,100015,2025-03-18,,16404,0,2025-12-13 14:55:41
179,100015,2025-07-04,,15488,0,2025-08-10 14:55:41
180,100015,25/06/2025,,5424,0,2025-10-08 14:55:41
181,100015,2025-08-04,credit,16629,5443,2025-12-06 14:55:41
182,100015,2025-12-18,,11173,5443,2025-09-06 14:55:41
183,100015,2025-07-22,credit,19107,"₹24,550",2025-09-23 14:55:41
184,100015,2025-12-23,credit,219,24769,2025-07-24 14:55:41
185,100015,2025-05-05,debit,10124,,2026-01-10 14:55:41
186,100015,2025-04-18,credit,2537,17182,2026-01-15 14:55:41
187,100015,2025-13-40,debit,12905,4277,2025-08-19 14:55:41
188,100015,2025-09-10,credit,"16,583",20860,2025-09-02 14:55:41
189,100015,2025-08-06,,19438,,2026-01-08 14:55:41
190,100016,2025-05-11,,3216,32121,2025-07-10 14:55:41
191,100016,2025-13-40,debit,1325,30796,2025-12-24 14:55:41
192,100016,2025-03-08,,1125,30796,2025-10-10 14:55:41
193,100016,2025-13-40,,"₹1,796",--,2025-12-07 14:55:41
194,100016,2025-11-05,debit,--,N/A,2026-01-16 14:55:41
195,100016,2025-12-02,credit,N/A,29157,2025-11-20 14:55:41
196,100016,2025-12-26,credit,"₹3,527",,2025-09-12 14:55:41
197,100017,30/12/2025,,"₹12,268",2345,2025-10-01 14:55:41
198,100017,2025-02-15,debit,11919,0,2026-01-11 14:55:41
199,100017,2025-10-21,credit,6639,0,2025-08-02 14:55:41
200,100017,01/08/2025,credit,18539,15604,2025-10-14 14:55:41
201,100017,2025-01-08,credit,,32992,2025-11-16 14:55:41
202,100017,2025-04-21,credit,15756,48748,2025-12-30 14:55:41
203,100017,2025-03-08,,"4,964",48748,2025-11-15 14:55:41
204,100017,2025-08-01,,12052,48748,2025-10-27 14:55:41
205,100017,2025-01-16,credit,12444,61192,2025-08-13 14:55:41
206,100017,19/09/2025,debit,5353,"55,839",2025-10-03 14:55:41
207,100017,2025-02-14,,"4,969",55839,2025-10-22 14:55:41
208,100017,2025-10-03,,10918,55839,2025-07-25 14:55:41
209,100017,2025-10-15,,19839,"55,839",2025-10-22 14:55:41
210,100017,2025-11-13,,2262,55839,2025-10-29 14:55:41
211,100017,2025-06-16,credit,18747,74586,2025-11-07 14:55:41
212,100017,2025-08-07,,6371,74586,2025-07-26 14:55:41
213,100017,2026-01-01,,18317,--,2025-11-04 14:55:41
214,100017,2025-04-17,,11255,74586,2025-11-09 14:55:41
215,100018,25/06/2025,credit,8546,44765,2026-01-17 14:55:41
216,100018,12/05/2025,debit,15101,29664,2025-11-10 14:55:41
217,100018,2025-08-08,,16241,"₹29,664",2025-10-17 14:55:41
218,100018,2025-01-29,credit,2502,32166,2025-07-26 14:55:41
219,100018,2025-01-22,,"₹18,765",32166,2025-11-17 14:55:41
220,100018,2025-11-14,,18897,,2025-08-21 14:55:41
221,100018,2025-04-24,credit,12759,"44,925",2025-11-09 14:55:41
222,100018,2025-03-06,credit,8267,--,2025-11-22 14:55:41
223,100018,2025-01-03,credit,10308,63500,2025-12-28 14:55:41
224,100018,2025-08-17,debit,5127,58373,2025-11-09 14:55:41
225,100018,2025-12-12,debit,14508,43865,2025-09-26 14:55:41
226,100018,2025-07-11,credit,2734,46599,2025-10-29 14:55:41
227,100018,2025-05-22,credit,9724,56323,2025-08-26 14:55:41
228,100018,2025-12-25,credit,"15,019",,2025-09-28 14:55:41
229,100018,2025-08-07,credit,14531,85873,2025-12-05 14:55:41
230,100018,2025-10-28,,17146,85873,2025-07-07 14:55:41
231,100018,2025-12-30,credit,3227,89100,2025-12-10 14:55:41
232,100018,2025-08-13,debit,6295,82805,2026-01-04 14:55:41
233,100018,2025-04-02,debit,18154,"64,651",2025-08-16 14:55:41
234,100019,2025-05-19,credit,17696,25348,2025-12-01 14:55:41
235,100019,2025-01-06,debit,,19519,2025-12-14 14:55:41
236,100019,2025-08-30,credit,4534,24053,2025-09-23 14:55:41
237,100019,2025-02-27,,8333,24053,2025-11-05 14:55:41
238,100019,2025-09-09,,13143,24053,2025-09-06 14:55:41
239,100019,2025-11-08,,13477,24053,2026-01-08 14:55:41
240,100019,2025-11-05,debit,9979,,2025-09-15 14:55:41
241,100020,2025-08-12,,5022,"₹15,127",2025-10-08 14:55:41
242,100020,2025-01-10,credit,14586,29713,2025-12-15 14:55:41
243,100020,2025-01-28,credit,4968,"34,681",2025-10-11 14:55:41
244,100020,11/08/2025,credit,19803,"54,484",2025-09-17 14:55:41
245,100020,20/06/2025,credit,--,"₹64,853",2025-11-09 14:55:41
246,100021,25/09/2025,debit,991,41340,2025-10-15 14:55:41
247,100021,2025-09-23,,4240,41340,2025-08-30 14:55:41
248,100021,2025-10-18,,--,41340,2025-07-14 14:55:41
249,100021,2025-05-18,credit,N/A,46199,2026-01-06 14:55:41
250,100021,2025-03-11,credit,13909,--,2025-11-13 14:55:41
251,100021,2025-04-19,credit,"2,370",62478,2025-12-06 14:55:41
252,100021,2025-09-11,credit,2820,65298,2025-09-19 14:55:41
253,100021,2025-05-14,,18503,65298,2025-12-09 14:55:41
254,100021,2025-10-30,,9341,65298,2025-11-09 14:55:41
255,100021,2025-09-19,debit,16547,48751,2025-11-13 14:55:41
256,100021,2025-03-18,,7527,48751,2025-12-23 14:55:41
257,100022,2025-07-25,debit,"18,765",9278,2026-01-01 14:55:41
258,100022,2025-01-31,debit,--,0,2025-12-18 14:55:41
259,100022,2025-09-08,debit,13187,0,2025-12-06 14:55:41
260,100022,2025-11-04,debit,"19,646",,2025-09-01 14:55:41
261,100022,2025-02-18,,"5,177",₹0,2025-10-16 14:55:41
262,100022,2025-12-26,debit,--,0,2025-12-27 14:55:41
263,100022,2025-11-12,credit,6499,0,2025-11-04 14:55:41
264,100022,28/09/2025,credit,9520,--,2025-09-08 14:55:41
265,100022,2025-11-08,credit,9496,0,2025-10-18 14:55:41
266,100022,2025-06-07,debit,13343,0,2025-11-25 14:55:41
267,100022,2025-03-19,,"5,286",₹0,2025-12-16 14:55:41
268,100022,2025-02-08,debit,11102,0,2025-08-06 14:55:41
269,100022,2025-12-11,,19456,0,2025-10-09 14:55:41
270,100022,2025-02-04,credit,1228,0,2025-10-08 14:55:41
271,100022,2025-06-16,debit,4554,0,2025-07-09 14:55:41
272,100022,2025-12-26,credit,--,0,2025-10-24 14:55:41
273,100023,2025-09-21,,16431,16730,2025-08-09 14:55:41
274,100023,2025-06-26,,"₹12,423",16730,2025-12-11 14:55:41
275,100023,2025-12-05,,16747,16730,2025-11-28 14:55:41
276,100023,2025-01-22,debit,19565,0,2025-10-05 14:55:41
277,100023,2025-02-03,debit,13872,0,2025-08-19 14:55:41
278,100023,2025-13-40,debit,1468,,2025-11-20 14:55:41
279,100023,2025-08-20,credit,"330,200",312025,2025-08-31 14:55:41
280,100023,2025-01-10,,10233,312025,2025-08-29 14:55:41
281,100023,2025-03-02,credit,12947,324972,2025-12-28 14:55:41
282,100024,2025-01-12,credit,4455,36903,2025-12-07 14:55:41
283,100024,16/04/2025,,5570,36903,2025-08-07 14:55:41
284,100024,2025-03-22,credit,309,37212,2025-12-03 14:55:41
285,100024,2025-08-21,debit,4179,33033,2025-08-13 14:55:41
286,100024,2025-02-13,debit,3215,29818,2025-08-12 14:55:41
287,100024,2025-02-15,credit,--,35335,2025-07-08 14:55:41
288,100024,2025-01-17,debit,12955,22380,2025-12-06 14:55:41
289,100024,2025-11-24,debit,"19,413",2967,2025-07-02 14:55:41
290,100024,2025-13-40,debit,N/A,,2025-10-19 14:55:41
291,100024,2025-12-08,debit,11299,0,2025-12-24 14:55:41
292,100024,2025-10-16,credit,19627,537,2025-08-11 14:55:41
293,100024,2025-11-24,debit,8262,0,2025-11-02 14:55:41
294,100025,2025-05-14,debit,5214,41392,2025-09-12 14:55:41
295,100025,2025-06-04,debit,944,"40,448",2025-09-05 14:55:41
296,100025,2025-02-22,debit,3915,36533,2025-11-24 14:55:41
297,100025,2025-02-11,credit,1808,38341,2025-07-19 14:55:41
298,100025,2025-10-24,,18093,38341,2026-01-07 14:55:41
299,100025,2025-08-05,credit,"11,120",49461,2025-12-21 14:55:41
300,100025,23/01/2025,debit,"₹12,033",37428,2025-11-15 14:55:41
301,100025,2025-03-29,credit,"₹18,845",56273,2025-12-16 14:55:41
302,100025,2025-12-17,,"8,018",56273,2025-07-03 14:55:41
303,100026,2025-05-03,credit,14281,51166,2025-10-06 14:55:41
304,100026,2025-07-31,,9626,51166,2025-08-16 14:55:41
305,100026,2025-03-01,debit,19557,N/A,2025-12-18 14:55:41
306,100026,2025-05-09,credit,1517,"33,126",2025-11-23 14:55:41
307,100026,2025-02-28,,292,"33,126",2025-11-26 14:55:41
308,100026,2025-03-18,,4238,33126,2025-09-26 14:55:41
309,100026,2025-11-23,credit,N/A,40101,2025-09-14 14:55:41
310,100026,2025-08-13,credit,211525,251626,2025-09-22 14:55:41
311,100026,2025-04-16,debit,"₹3,818",,2025-07-06 14:55:41
312,100026,2025-10-29,debit,11598,236210,2025-10-10 14:55:41
313,100026,2025-09-04,credit,"14,556",250766,2025-08-29 14:55:41
314,100026,2025-03-17,credit,8971,259737,2025-10-30 14:55:41
315,100026,2025-01-12,credit,"₹18,784",278521,2025-07-30 14:55:41
316,100026,2025-11-12,,17564,"278,521",2025-10-26 14:55:41
317,100026,2025-10-12,debit,18810,259711,2025-10-01 14:55:41
318,100026,2025-05-21,,6736,259711,2025-10-12 14:55:41
319,100026,2025-04-12,credit,10840,270551,2025-11-20 14:55:41
320,100026,2025-10-16,credit,2699,273250,2025-10-04 14:55:41
321,100026,2025-13-40,credit,"₹18,175",291425,2025-11-13 14:55:41
322,100026,2025-10-29,debit,4141,287284,2025-11-18 14:55:41
323,100027,2025-11-04,,8103,17404,2026-01-16 14:55:41
324,100027,2025-09-09,credit,"₹13,694",31098,2026-01-17 14:55:41
325,100027,2025-06-29,debit,--,16076,2025-07-31 14:55:41
326,100027,31/03/2025,credit,7874,23950,2025-09-22 14:55:41
327,100027,2025-08-20,credit,4607,28557,2025-07-07 14:55:41
328,100027,2025-12-19,debit,5243,23314,2026-01-09 14:55:41
329,100027,2025-12-18,debit,--,19558,2025-07-22 14:55:41
330,100028,2025-09-25,,18386,47772,2025-08-21 14:55:41
331,100028,2025-08-21,credit,19673,67445,2025-09-26 14:55:41
332,100028,2025-05-15,,7217,N/A,2025-07-04 14:55:41
333,100028,2025-02-17,,"₹3,979",67445,2025-12-20 14:55:41
334,100028,2025-07-23,,19227,--,2025-12-16 14:55:41
335,100028,2025-01-27,,18014,67445,2025-11-12 14:55:41
336,100028,2025-10-10,credit,6042,"₹73,487",2025-07-23 14:55:41
337,100028,2025-09-24,credit,14694,88181,2025-12-06 14:55:41
338,100028,2025-13-40,credit,1284,89465,2025-07-16 14:55:41
339,100028,2025-06-16,credit,19396,108861,2025-09-02 14:55:41
340,100028,2025-01-31,,1046,108861,2025-09-10 14:55:41
341,100028,2025-05-31,debit,5419,103442,2025-09-14 14:55:41
342,100028,2025-02-10,credit,5958,"109,400",2026-01-07 14:55:41
343,100029,2025-01-24,,45000,2720,2025-10-17 14:55:41
344,100029,2025-05-22,,5113,"₹2,720",2025-11-20 14:55:41
345,100029,2025-13-40,,1805,2720,2025-07-19 14:55:41
346,100029,2025-08-30,credit,13527,16247,2026-01-13 14:55:41
347,100029,2025-11-23,,"6,254",16247,2025-11-14 14:55:41
348,100029,2025-03-06,,17543,16247,2025-08-30 14:55:41
349,100029,2025-09-14,credit,17097,33344,2025-11-16 14:55:41
350,100029,2025-02-04,credit,13309,46653,2025-07-14 14:55:41
351,100029,2025-06-03,credit,878,47531,2025-09-04 14:55:41
352,100029,2025-02-24,debit,8452,39079,2025-10-10 14:55:41
353,100029,2025-07-12,debit,1586,37493,2025-12-01 14:55:41
354,100029,2025-01-13,,2972,37493,2025-09-04 14:55:41
355,100029,2025-01-13,credit,3770,--,2025-10-25 14:55:41
356,100029,2025-03-11,debit,2216,39047,2025-11-04 14:55:41
357,100029,2025-04-22,credit,11834,50881,2025-07-15 14:55:41
358,100029,2025-13-40,credit,3151,54032,2025-08-31 14:55:41
359,100029,2025-13-40,credit,19641,"₹73,673",2025-11-21 14:55:41
360,100029,2025-07-29,credit,2717,76390,2025-10-26 14:55:41
361,100029,2025-02-19,debit,16606,,2025-12-01 14:55:41
362,100030,2025-10-29,credit,"₹11,163",14089,2025-11-16 14:55:41
363,100030,2025-06-21,debit,16497,₹0,2025-10-03 14:55:41
364,100030,15/11/2025,,7202,0,2025-08-16 14:55:41
365,100030,2025-03-06,,19042,0,2026-01-11 14:55:41
366,100030,2025-07-29,credit,--,3382,2025-11-17 14:55:41
367,100031,2025-08-04,credit,"3,222",26353,2025-09-02 14:55:41
368,100031,2025-13-40,debit,896,25457,2025-07-11 14:55:41
369,100031,2025-12-23,credit,4017,29474,2026-01-03 14:55:41
370,100031,2025-04-16,debit,12998,16476,2025-07-26 14:55:41
371,100031,2025-06-15,,--,16476,2025-09-29 14:55:41
372,100031,2025-04-05,debit,18944,0,2025-12-12 14:55:41
373,100031,2025-09-27,debit,"9,715",,2025-09-04 14:55:41
374,100031,2025-13-40,debit,9979,0,2025-10-05 14:55:41
375,100031,2025-05-01,,"₹12,465",0,2026-01-13 14:55:41
376,100031,2025-01-26,,12266,0,2026-01-13 14:55:41
377,100031,2025-08-21,debit,19300,0,2025-10-02 14:55:41
378,100031,2025-10-22,debit,9912,0,2025-07-07 14:55:41
379,100031,2025-08-23,credit,17311,0,2025-11-15 14:55:41
380,100031,2025-10-18,credit,9847,0,2025-11-29 14:55:41
381,100031,2025-04-09,credit,6260,0,2025-09-29 14:55:41
382,100032,2025-11-16,,952,"₹27,726",2026-01-10 14:55:41
383,100032,2025-04-01,,7274,27726,2025-07-30 14:55:41
384,100032,2025-07-06,,8194,,2025-11-06 14:55:41
385,100032,2025-06-27,debit,4060,,2025-12-11 14:55:41
386,100032,2025-07-04,,5004,23666,2025-10-05 14:55:41
387,100032,2025-04-22,credit,18608,42274,2025-11-30 14:55:41
388,100033,2025-06-23,credit,8455,"₹46,909",2025-07-04 14:55:41
389,100033,2025-09-19,debit,1529,,2025-07-31 14:55:41
390,100033,2025-08-12,,13001,"₹45,380",2025-10-10 14:55:41
391,100033,2025-02-09,credit,6535,51915,2026-01-01 14:55:41
392,100033,2025-01-30,,9350,51915,2025-10-05 14:55:41
393,100033,2025-11-20,,6619,51915,2025-10-15 14:55:41
394,100033,2025-05-25,debit,751,51164,2025-09-25 14:55:41
395,100033,2025-07-27,debit,4460,"46,704",2025-07-16 14:55:41
396,100033,2025-09-01,debit,1762,"44,942",2026-01-12 14:55:41
397,100033,2025-09-27,,17682,44942,2025-12-15 14:55:41
398,100033,2025-13-40,debit,5811,39131,2025-09-21 14:55:41
399,100033,2025-03-27,,--,39131,2025-09-08 14:55:41
400,100033,2025-06-13,credit,15526,"₹54,657",2025-12-29 14:55:41
401,100033,2025-10-08,debit,"10,262",44395,2025-12-12 14:55:41
402,100033,2025-06-01,,"1,609",44395,2025-11-26 14:55:41
403,100034,30/08/2025,,3748,27106,2025-12-01 14:55:41
404,100034,2025-03-25,,3223,27106,2025-11-29 14:55:41
405,100034,2025-08-04,credit,18960,46066,2025-11-19 14:55:41
406,100034,2025-04-30,,8163,46066,2026-01-10 14:55:41
407,100034,2025-10-22,debit,950,45116,2025-12-18 14:55:41
408,100034,2025-12-26,credit,13394,58510,2026-01-14 14:55:41
409,100034,2025-01-03,debit,17915,40595,2025-07-29 14:55:41
410,100034,2025-07-22,,12194,40595,2025-10-06 14:55:41
411,100035,2025-12-01,credit,"₹2,583",37847,2026-01-07 14:55:41
412,100035,2025-10-02,,8998,37847,2025-12-08 14:55:41
